Chiplet ID,Tile ID,HW Type,NoC Position,AI Layer,NodeName
C1,T1,Mem Tile,"0,0",['DDR'],['DDR']
C1,T2,Mem Tile,"1,0",['L1'],['Input']
C1,T3,Mem Tile,"2,0",['L1'],['Weight']
C1,T4,SA,"3,0",['L1'],['Conv']
C1,T5,Mem Tile,"4,0",['L1'],['Output']
C1,T6,CPU,"5,0",['L2'],['Relu']
C1,T7,Mem Tile,"6,0",['L2'],['Output']
C1,T8,Mem Tile,"6,1",['L3'],['Weight']
C1,T9,SA,"5,1",['L3'],['Conv']
C1,T10,Mem Tile,"4,1",['L3'],['Output']
C1,T11,CPU,"3,1",['L4'],['Relu']
C1,T12,Mem Tile,"2,1",['L4'],['Output']
C1,T13,Mem Tile,"1,1",['L5'],['Weight']
C1,T14,SA,"0,1",['L5'],['Conv']
C1,T15,Mem Tile,"0,2",['L5'],['Output']
C1,T16,CPU,"1,2",['L6'],['Relu']
C1,T17,Mem Tile,"2,2",['L6'],['Output']
C1,T18,Mem Tile,"3,2",['L7'],['Weight']
C1,T19,SA,"4,2",['L7'],['Conv']
C1,T20,Mem Tile,"5,2",['L7'],['Output']
C1,T21,CPU,"6,2",['L8'],['Relu']
C1,T22,Mem Tile,"6,3",['L8'],['Output']
C1,T23,Mem Tile,"5,3",['L9'],['Weight']
C1,T24,SA,"4,3",['L9'],['Conv']
C1,T25,Mem Tile,"3,3",['L9'],['Output']
C1,T26,CPU,"2,3",['L10'],['Relu']
C1,T27,Mem Tile,"1,3",['L10'],['Output']
C1,T28,Mem Tile,"0,3",['L11'],['Weight']
C1,T29,SA,"0,4",['L11'],['Gemm']
C1,T30,Mem Tile,"1,4",['L11'],['Output']
C1,T31,CPU,"2,4",['L12'],['Relu']
C1,T32,Mem Tile,"3,4",['L12'],['Output']
C1,T33,Mem Tile,"4,4",['L13'],['Weight']
C1,T34,SA,"5,4",['L13'],['Gemm']
C1,T35,Mem Tile,"6,4",['L13'],['Output']
C1,T36,CPU,"6,5",['L14'],['Relu']
C1,T37,Mem Tile,"5,5",['L14'],['Output']
C1,T38,Mem Tile,"4,5",['L15'],['Weight']
C1,T39,SA,"3,5",['L15'],['Gemm']
C1,T40,Mem Tile,"2,5",['L15'],['Output']
