Chiplet ID,Tile ID,HW Type,NoC Position,AI Layer,NodeName
C1,T1,Mem Tile,"0,0",['DDR'],['DDR']
C1,T2,Mem Tile,"1,0",['L1'],['Input']
C1,T3,CPU,"2,0",['L1'],['Add']
C1,T4,Mem Tile,"3,0",['L1'],['Output']
C1,T5,CPU,"4,0",['L2'],['Add']
C1,T6,Mem Tile,"5,0",['L2'],['Output']
C1,T7,CPU,"6,0",['L3'],['LayerNormalization']
C1,T8,Mem Tile,"7,0",['L3'],['Output']
C1,T9,Mem Tile,"8,0",['L4'],['Weight']
C1,T10,SA,"9,0",['L4'],['Gemm']
C1,T11,Mem Tile,"10,0",['L4'],['Output']
C1,T12,Mem Tile,"11,0",['L5'],['Weight']
C1,T13,SA,"12,0",['L5'],['MatMul']
C1,T14,Mem Tile,"13,0",['L5'],['Output']
C1,T15,CPU,"14,0",['L6'],['Add']
C1,T16,Mem Tile,"15,0",['L6'],['Output']
C1,T17,CPU,"16,0",['L7'],['Softmax']
C1,T18,Mem Tile,"17,0",['L7'],['Output']
C1,T19,Mem Tile,"18,0",['L8'],['Weight']
C1,T20,SA,"19,0",['L8'],['MatMul']
C1,T21,Mem Tile,"19,1",['L8'],['Output']
C1,T22,Mem Tile,"18,1",['L9'],['Weight']
C1,T23,SA,"17,1",['L9'],['Gemm']
C1,T24,Mem Tile,"16,1",['L9'],['Output']
C1,T25,CPU,"15,1",['L10'],['Add']
C1,T26,Mem Tile,"14,1",['L10'],['Output']
C1,T27,CPU,"13,1",['L11'],['LayerNormalization']
C1,T28,Mem Tile,"12,1",['L11'],['Output']
C1,T29,Mem Tile,"11,1",['L12'],['Weight']
C1,T30,SA,"10,1",['L12'],['Gemm']
C1,T31,Mem Tile,"9,1",['L12'],['Output']
C1,T32,CPU,"8,1",['L13'],['Gelu']
C1,T33,Mem Tile,"7,1",['L13'],['Output']
C1,T34,Mem Tile,"6,1",['L14'],['Weight']
C1,T35,SA,"5,1",['L14'],['Gemm']
C1,T36,Mem Tile,"4,1",['L14'],['Output']
C1,T37,CPU,"3,1",['L15'],['Add']
C1,T38,Mem Tile,"2,1",['L15'],['Output']
C1,T39,CPU,"1,1",['L16'],['LayerNormalization']
C1,T40,Mem Tile,"0,1",['L16'],['Output']
C1,T41,Mem Tile,"0,2",['L17'],['Weight']
C1,T42,SA,"1,2",['L17'],['Gemm']
C1,T43,Mem Tile,"2,2",['L17'],['Output']
C1,T44,Mem Tile,"3,2",['L18'],['Weight']
C1,T45,SA,"4,2",['L18'],['MatMul']
C1,T46,Mem Tile,"5,2",['L18'],['Output']
C1,T47,CPU,"6,2",['L19'],['Add']
C1,T48,Mem Tile,"7,2",['L19'],['Output']
C1,T49,CPU,"8,2",['L20'],['Softmax']
C1,T50,Mem Tile,"9,2",['L20'],['Output']
C1,T51,Mem Tile,"10,2",['L21'],['Weight']
C1,T52,SA,"11,2",['L21'],['MatMul']
C1,T53,Mem Tile,"12,2",['L21'],['Output']
C1,T54,Mem Tile,"13,2",['L22'],['Weight']
C1,T55,SA,"14,2",['L22'],['Gemm']
C1,T56,Mem Tile,"15,2",['L22'],['Output']
C1,T57,CPU,"16,2",['L23'],['Add']
C1,T58,Mem Tile,"17,2",['L23'],['Output']
C1,T59,CPU,"18,2",['L24'],['LayerNormalization']
C1,T60,Mem Tile,"19,2",['L24'],['Output']
C1,T61,Mem Tile,"19,3",['L25'],['Weight']
C1,T62,SA,"18,3",['L25'],['Gemm']
C1,T63,Mem Tile,"17,3",['L25'],['Output']
