Chiplet ID,Tile ID,HW Type,NoC Position,AI Layer,NodeName
C1,T1,Mem Tile,"0,0",['DDR'],['DDR']
C1,T2,SA,"1,0","['L3', 'L4', 'L5', 'L8', 'L9', 'L11', 'L12', 'L14', 'L16', 'L17', 'L18', 'L21', 'L22']","['MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger']"
C1,T3,CPU,"2,0","['L1', 'L2', 'L6', 'L7', 'L10', 'L13', 'L15', 'L19', 'L20', 'L23']","['LayerNorm', 'Add', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm']"
C1,T4,Mem Tile,"2,1",['L1'],['Input']
C1,T5,Mem Tile,"1,1","['L3', 'L4', 'L5', 'L8', 'L9', 'L11', 'L12', 'L14', 'L16', 'L17', 'L18', 'L21', 'L22']",['Weight']
C1,T6,Mem Tile,"0,1","['L1', 'L2', 'L3', 'L4', 'L5', 'L6', 'L7', 'L8', 'L9', 'L10', 'L11', 'L12', 'L13', 'L14', 'L15', 'L16', 'L17', 'L18', 'L19', 'L20', 'L21', 'L22', 'L23']",['Output']
C2,T1,SA,"0,0","['L24', 'L25', 'L27', 'L29', 'L30', 'L31', 'L34', 'L35', 'L37', 'L38', 'L40', 'L42', 'L43', 'L44']","['MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger']"
C2,T2,CPU,"1,0","['L26', 'L28', 'L32', 'L33', 'L36', 'L39', 'L41', 'L45', 'L46']","['Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization', 'SkipLayerNorm', 'Sigmoid', 'SkipLayerNorm', 'SimplifiedLayerNormalization', 'SimplifiedLayerNormalization']"
C2,T4,Mem Tile,"2,1","['L24', 'L25', 'L27', 'L29', 'L30', 'L31', 'L34', 'L35', 'L37', 'L38', 'L40', 'L42', 'L43', 'L44']",['Weight']
C2,T5,Mem Tile,"1,1","['L24', 'L25', 'L26', 'L27', 'L28', 'L29', 'L30', 'L31', 'L32', 'L33', 'L34', 'L35', 'L36', 'L37', 'L38', 'L39', 'L40', 'L41', 'L42', 'L43', 'L44', 'L45', 'L46']",['Output']
C3,T1,SA,"0,0","['L47', 'L48', 'L50', 'L51', 'L53', 'L55', 'L56', 'L57', 'L60', 'L61', 'L63', 'L64', 'L66', 'L68', 'L69']","['GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger']"
