Layer ID,Type,Function,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,Parallel,A,B,C
L4,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L5,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L8,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L9,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L12,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L14,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L17,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L18,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L21,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L22,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L25,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L27,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L30,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L31,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L34,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L35,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L38,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L40,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L43,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L44,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L47,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L48,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L51,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L53,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L56,Gemm,AxB mul BxC,A,B,NA,NA,B,C,NA,NA,NA,Auto,SA_size_x,n_SA*SA_size_y
L57,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
L60,MatMul,AxB mul BxC,Temporal,Parallel,A,B,Temporal,Parallel,B,C,n_SA,SA_size_y,SA_size_x,Auto
