Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
C1,%0,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,3,11,11,NA,NA,NA,NA,NA,NA
C2,%1,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA
C3,%2,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,64,5,5,NA,NA,NA,NA,NA,NA
C4,%3,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA
C5,%4,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,192,3,3,NA,NA,NA,NA,NA,NA
C6,%5,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,NA,NA,NA,NA,NA,NA,NA,NA,NA
C7,%6,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,384,3,3,NA,NA,NA,NA,NA,NA
C8,%7,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,NA,NA,NA,NA,NA,NA,NA,NA,NA
C9,%8,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,256,3,3,NA,NA,NA,NA,NA,NA
C10,%9,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,NA,NA,NA,NA,NA,NA,NA,NA,NA
C11,%10,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4096,9216,NA,NA,NA,NA,NA,NA,NA,NA
C12,%11,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA
C13,%12,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4096,4096,NA,NA,NA,NA,NA,NA,NA,NA
C14,%13,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA
C15,%14,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,4096,NA,NA,NA,NA,NA,NA,NA,NA
C16,%15,Constant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA
