Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L1,%16,Conv,1,3,224,224,64,3,11,11,64,NA,NA,NA,8,1,64,55,55,/features/features.0/Conv,"[1, 1]",1 : si64,"[11, 11]","[2, 2, 2, 2]","[4, 4]"
L2,%17,Relu,1,64,55,55,NA,NA,NA,NA,NA,NA,NA,NA,8,1,64,55,55,/features/features.1/Relu,NA,NA,NA,NA,NA
L3,%19,Conv,1,64,27,27,192,64,5,5,192,NA,NA,NA,8,1,192,27,27,/features/features.3/Conv,"[1, 1]",1 : si64,"[5, 5]","[2, 2, 2, 2]","[1, 1]"
L4,%20,Relu,1,192,27,27,NA,NA,NA,NA,NA,NA,NA,NA,8,1,192,27,27,/features/features.4/Relu,NA,NA,NA,NA,NA
L5,%22,Conv,1,192,13,13,384,192,3,3,384,NA,NA,NA,8,1,384,13,13,/features/features.6/Conv,"[1, 1]",1 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L6,%23,Relu,1,384,13,13,NA,NA,NA,NA,NA,NA,NA,NA,8,1,384,13,13,/features/features.7/Relu,NA,NA,NA,NA,NA
L7,%24,Conv,1,384,13,13,256,384,3,3,256,NA,NA,NA,8,1,256,13,13,/features/features.8/Conv,"[1, 1]",1 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L8,%25,Relu,1,256,13,13,NA,NA,NA,NA,NA,NA,NA,NA,8,1,256,13,13,/features/features.9/Relu,NA,NA,NA,NA,NA
L9,%26,Conv,1,256,13,13,256,256,3,3,256,NA,NA,NA,8,1,256,13,13,/features/features.10/Conv,"[1, 1]",1 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L10,%27,Relu,1,256,13,13,NA,NA,NA,NA,NA,NA,NA,NA,8,1,256,13,13,/features/features.11/Relu,NA,NA,NA,NA,NA
L11,%31,Gemm,1,9216,NA,NA,4096,9216,NA,NA,4096,NA,NA,NA,8,1,4096,NA,NA,/classifier/classifier.1/Gemm,NA,NA,NA,NA,NA
L12,%32,Relu,1,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,4096,NA,NA,/classifier/classifier.2/Relu,NA,NA,NA,NA,NA
L13,%33,Gemm,1,4096,NA,NA,4096,4096,NA,NA,4096,NA,NA,NA,8,1,4096,NA,NA,/classifier/classifier.4/Gemm,NA,NA,NA,NA,NA
L14,%34,Relu,1,4096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,4096,NA,NA,/classifier/classifier.5/Relu,NA,NA,NA,NA,NA
L15,%35,Gemm,1,4096,NA,NA,1000,4096,NA,NA,1000,NA,NA,NA,8,1,1000,NA,NA,/classifier/classifier.6/Gemm,NA,NA,NA,NA,NA
