Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L1,%722,Add,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8,1,1,NA,NA,/model/attn_mask_reformat/attn_mask_subgraph/Sub-Initializer_/model/constants/TensorProto.INT64/1D/1_1,NA,NA,NA,NA,NA
L2,%723,LayerNorm,1,128,1152,NA,1152,NA,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.0/input_layernorm/LayerNorm,NA,NA,NA,NA,NA
L3,%725,MatMulInteger,1,128,1152,NA,1152,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.0/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L4,%729,MatMulInteger,1,128,1152,NA,1152,256,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.0/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L5,%733,MatMulInteger,1,128,1152,NA,1152,256,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.0/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L6,%738,SimplifiedLayerNormalization,1,512,256,NA,256,NA,NA,NA,NA,NA,NA,NA,8,1,512,256,NA,/model/layers.0/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L7,%739,SimplifiedLayerNormalization,1,128,256,NA,256,NA,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.0/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L8,%743:3,GroupQueryAttention,1,128,1024,NA,1,128,256,NA,1,128,256,NA,8,1,128,1024,NA,/model/layers.0/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L9,%744,MatMulInteger,1,128,1024,NA,1024,1152,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.0/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L10,%748,LayerNorm,1,128,1152,NA,1152,NA,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.0/post_attention_layernorm/LayerNorm,NA,NA,NA,NA,NA
L11,%749:4,SkipLayerNorm,1,128,1152,NA,1,128,1152,NA,1152,NA,NA,NA,8,1,128,1152,NA,/model/layers.0/pre_feedforward_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L12,%750,MatMulInteger,1,128,1152,NA,1152,6912,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.0/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
L13,%754,MatMulInteger,1,128,1152,NA,1152,6912,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.0/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
L14,%758,FastGelu,1,128,6912,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.0/mlp/act_fn/FastGelu,NA,NA,NA,NA,NA
L15,%760,MatMulInteger,1,128,6912,NA,6912,1152,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.0/mlp/down_proj/MatMul_quant,NA,NA,NA,NA,NA
L16,%764,LayerNorm,1,128,1152,NA,1152,NA,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.0/post_feedforward_layernorm/LayerNorm,NA,NA,NA,NA,NA
L17,%765:4,SkipLayerNorm,1,128,1152,NA,1,128,1152,NA,1152,NA,NA,NA,8,1,128,1152,NA,/model/layers.1/input_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L18,%766,MatMulInteger,1,128,1152,NA,1152,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.1/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L19,%770,MatMulInteger,1,128,1152,NA,1152,256,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.1/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L20,%774,MatMulInteger,1,128,1152,NA,1152,256,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.1/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L21,%779,SimplifiedLayerNormalization,1,512,256,NA,256,NA,NA,NA,NA,NA,NA,NA,8,1,512,256,NA,/model/layers.1/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L22,%780,SimplifiedLayerNormalization,1,128,256,NA,256,NA,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.1/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L23,%784:3,GroupQueryAttention,1,128,1024,NA,1,128,256,NA,1,128,256,NA,8,1,128,1024,NA,/model/layers.1/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L24,%785,MatMulInteger,1,128,1024,NA,1024,1152,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.1/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L25,%789,LayerNorm,1,128,1152,NA,1152,NA,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.1/post_attention_layernorm/LayerNorm,NA,NA,NA,NA,NA
L26,%790:4,SkipLayerNorm,1,128,1152,NA,1,128,1152,NA,1152,NA,NA,NA,8,1,128,1152,NA,/model/layers.1/pre_feedforward_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L27,%791,MatMulInteger,1,128,1152,NA,1152,6912,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.1/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
