Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L1,%386,Add,1,768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,768,NA,NA,sub-Initializer_vconst_5_48,NA,NA,NA,NA,NA
L2,%390,Add,1,768,768,NA,1,768,768,NA,NA,NA,NA,NA,8,1,768,768,NA,Add_81,NA,NA,NA,NA,NA
L3,%Y,LayerNormalization,1,768,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,768,768,NA,Add_98_74,NA,NA,NA,NA,NA
L4,%396,Gemm,768,768,NA,NA,768,2304,NA,NA,2304,NA,NA,NA,8,768,2304,NA,NA,Gemm_114,NA,NA,NA,NA,NA
L5,%404,MatMul,1,12,768,64,1,12,64,768,NA,NA,NA,NA,8,1,12,768,768,MatMul_194,NA,NA,NA,NA,NA
L6,%407,Add,1,12,768,768,1,1,1,768,NA,NA,NA,NA,8,1,12,768,768,Add_219,NA,NA,NA,NA,NA
L7,%408,Softmax,1,12,768,768,NA,NA,NA,NA,NA,NA,NA,NA,8,1,12,768,768,Softmax_220_91,NA,NA,NA,NA,NA
L8,%412,MatMul,1,12,768,768,1,12,768,64,NA,NA,NA,NA,8,1,12,768,64,MatMul_221,NA,NA,NA,NA,NA
L9,%415,Gemm,768,768,NA,NA,768,768,NA,NA,768,NA,NA,NA,8,768,768,NA,NA,Gemm_262,NA,NA,NA,NA,NA
L10,%417,Add,1,768,768,NA,1,768,768,NA,NA,NA,NA,NA,8,1,768,768,NA,Add_267,NA,NA,NA,NA,NA
L11,%Y_0,LayerNormalization,1,768,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,768,768,NA,Add_278_46,NA,NA,NA,NA,NA
L12,%419,Gemm,768,768,NA,NA,768,3072,NA,NA,3072,NA,NA,NA,8,768,3072,NA,NA,Gemm_294,NA,NA,NA,NA,NA
L13,%421,Gelu,1,768,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,768,3072,NA,Mul_311_75,NA,NA,NA,NA,NA
L14,%423,Gemm,768,3072,NA,NA,3072,768,NA,NA,768,NA,NA,NA,8,768,768,NA,NA,Gemm_327,NA,NA,NA,NA,NA
L15,%425,Add,1,768,768,NA,1,768,768,NA,NA,NA,NA,NA,8,1,768,768,NA,Add_332,NA,NA,NA,NA,NA
L16,%Y_3,LayerNormalization,1,768,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,768,768,NA,Add_343_4,NA,NA,NA,NA,NA
L17,%427,Gemm,768,768,NA,NA,768,2304,NA,NA,2304,NA,NA,NA,8,768,2304,NA,NA,Gemm_359,NA,NA,NA,NA,NA
L18,%435,MatMul,1,12,768,64,1,12,64,768,NA,NA,NA,NA,8,1,12,768,768,MatMul_439,NA,NA,NA,NA,NA
L19,%438,Add,1,12,768,768,1,1,1,768,NA,NA,NA,NA,8,1,12,768,768,Add_464,NA,NA,NA,NA,NA
