Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L1,%1446,Add,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,/model/Add,NA,NA,NA,NA,NA
L2,%1450,Add,1,8,128,64,NA,NA,NA,NA,NA,NA,NA,NA,8,1,8,128,64,/model/layers.0/input_layernorm/Add,NA,NA,NA,NA,NA
L3,%1468,MatMul,1,32,1,NA,1,1,128,NA,NA,NA,NA,NA,8,1,64,128,NA,/model/rotary_emb/MatMul,NA,NA,NA,NA,NA
L4,%1472,MatMulInteger,1,128,2048,NA,2048,2048,NA,NA,NA,NA,NA,NA,8,1,128,8192,NA,/model/layers.0/self_attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L5,%1476,MatMulInteger,1,128,2048,NA,2048,512,NA,NA,NA,NA,NA,NA,8,1,128,8192,NA,/model/layers.0/self_attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L6,%1480,MatMulInteger,1,128,2048,NA,2048,512,NA,NA,NA,NA,NA,NA,8,1,1,512,NA,/model/layers.0/self_attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L7,%1505,Add,128,NA,NA,NA,128,128,NA,NA,NA,NA,NA,NA,8,4,NA,NA,NA,/model/Add_1,NA,NA,NA,NA,NA
L8,%1533,Add,128,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,8,1,1,1,1,/model/Add_2,NA,NA,NA,NA,NA
L9,%1538,Add,1,1,1,1,1,1,1,1,NA,NA,NA,NA,8,1,1,128,1,/model/Add_3,NA,NA,NA,NA,NA
L10,%1543,Add,1,1,128,1,1,1,128,128,NA,NA,NA,NA,8,1,1,128,128,/model/Add_4,NA,NA,NA,NA,NA
L11,%1546,Add,1,32,128,64,1,128,8192,NA,NA,NA,NA,NA,8,1,8,128,64,/model/layers.0/self_attn/Add,NA,NA,NA,NA,NA
L12,%1547,Add,1,32,128,64,1,8,128,64,NA,NA,NA,NA,8,1,8,128,64,/model/layers.0/self_attn/Add_1,NA,NA,NA,NA,NA
L13,%1585,MatMul,1,8,128,64,1,32,128,64,NA,NA,NA,NA,8,1,128,2048,NA,/model/layers.0/self_attn/MatMul,NA,NA,NA,NA,NA
L14,%1587,Add,1,128,2048,NA,1,1,128,128,NA,NA,NA,NA,8,1,128,2048,NA,/model/layers.0/self_attn/Add_2,NA,NA,NA,NA,NA
L15,%1588,Softmax,1,128,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,32,128,128,/model/layers.0/self_attn/Softmax,NA,NA,NA,NA,NA
L16,%1589,MatMul,1,32,128,128,1,32,128,64,NA,NA,NA,NA,8,1,32,128,64,/model/layers.0/self_attn/MatMul_1,NA,NA,NA,NA,NA
L17,%1593,MatMulInteger,1,128,2048,NA,2048,2048,NA,NA,NA,NA,NA,NA,8,1,1,2048,NA,/model/layers.0/self_attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L18,%1597,Add,1,128,2048,NA,1,128,8192,NA,NA,NA,NA,NA,8,1,8,128,64,/model/layers.0/Add,NA,NA,NA,NA,NA
L19,%1600,Add,1,8,128,64,NA,NA,NA,NA,NA,NA,NA,NA,8,1,8,128,64,/model/layers.0/post_attention_layernorm/Add,NA,NA,NA,NA,NA
L20,%1606,MatMulInteger,1,128,2048,NA,2048,8192,NA,NA,NA,NA,NA,NA,8,1,1,8192,NA,/model/layers.0/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
L21,%1610,MatMulInteger,1,128,2048,NA,2048,8192,NA,NA,NA,NA,NA,NA,8,1,1,8192,NA,/model/layers.0/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
L22,%1614,Sigmoid,1,128,8192,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,/model/layers.0/mlp/act_fn/Sigmoid,NA,NA,NA,NA,NA
