Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L1,%235,Conv,1,3,224,224,32,3,3,3,32,NA,NA,NA,8,1,32,112,112,/mobilenet_v2/conv_stem/first_conv/convolution/Conv,"[1, 1]",1 : si64,"[3, 3]","[0, 0, 1, 1]","[2, 2]"
L2,%236,Clip,1,32,112,112,NA,NA,NA,NA,NA,NA,NA,NA,8,1,32,112,112,/mobilenet_v2/conv_stem/first_conv/activation/Clip_117,NA,NA,NA,NA,NA
L3,%237,Conv,1,32,112,112,32,1,3,3,32,NA,NA,NA,8,1,32,112,112,/mobilenet_v2/conv_stem/conv_3x3/convolution/Conv,"[1, 1]",32 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L4,%238,Clip,1,32,112,112,NA,NA,NA,NA,NA,NA,NA,NA,8,1,32,112,112,/mobilenet_v2/conv_stem/conv_3x3/activation/Clip_116,NA,NA,NA,NA,NA
L5,%240,MatMul,16,32,NA,NA,1,32,12544,NA,NA,NA,NA,NA,8,1,16,12544,NA,/mobilenet_v2/conv_stem/reduce_1x1/convolution/Conv_100,NA,NA,NA,NA,NA
L6,%241,Add,1,16,12544,NA,1,16,1,NA,NA,NA,NA,NA,8,1,16,12544,NA,/mobilenet_v2/conv_stem/reduce_1x1/convolution/Conv_119,NA,NA,NA,NA,NA
L7,%242,MatMul,96,16,NA,NA,1,16,12544,NA,NA,NA,NA,NA,8,1,96,12544,NA,/mobilenet_v2/layer.0/expand_1x1/convolution/Conv_37,NA,NA,NA,NA,NA
L8,%243,Add,1,96,12544,NA,1,96,1,NA,NA,NA,NA,NA,8,1,96,12544,NA,/mobilenet_v2/layer.0/expand_1x1/convolution/Conv_0,NA,NA,NA,NA,NA
L9,%245,Clip,1,96,112,112,NA,NA,NA,NA,NA,NA,NA,NA,8,1,96,112,112,/mobilenet_v2/layer.0/expand_1x1/activation/Clip_28,NA,NA,NA,NA,NA
L10,%246,Conv,1,96,112,112,96,1,3,3,96,NA,NA,NA,8,1,96,56,56,/mobilenet_v2/layer.0/conv_3x3/convolution/Conv,"[1, 1]",96 : si64,"[3, 3]","[0, 0, 1, 1]","[2, 2]"
L11,%247,Clip,1,96,56,56,NA,NA,NA,NA,NA,NA,NA,NA,8,1,96,56,56,/mobilenet_v2/layer.0/conv_3x3/activation/Clip_14,NA,NA,NA,NA,NA
L12,%249,MatMul,24,96,NA,NA,1,96,3136,NA,NA,NA,NA,NA,8,1,24,3136,NA,/mobilenet_v2/layer.0/reduce_1x1/convolution/Conv_57,NA,NA,NA,NA,NA
