Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L1,%717,LayerNorm,1,128,1024,NA,1024,NA,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.0/input_layernorm/LayerNorm,NA,NA,NA,NA,NA
L2,%718,Add,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,8,1,1,NA,NA,/model/attn_mask_reformat/attn_mask_subgraph/Sub_1,NA,NA,NA,NA,NA
L3,%719,MatMulInteger,1,128,1024,NA,1024,2048,NA,NA,NA,NA,NA,NA,8,1,128,2048,NA,/model/layers.0/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L4,%723,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.0/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L5,%727,MatMulInteger,1,128,1024,NA,1024,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.0/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L6,%734,SimplifiedLayerNormalization,1,128,3072,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,2048,128,NA,/model/layers.0/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L7,%735,SimplifiedLayerNormalization,1,1024,128,NA,128,NA,NA,NA,NA,NA,NA,NA,8,1,1024,128,NA,/model/layers.0/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L8,%740:3,GroupQueryAttention,1,128,2048,NA,1,128,1024,NA,1,128,1024,NA,8,1,128,2048,NA,/model/layers.0/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L9,%741,MatMulInteger,1,128,2048,NA,2048,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.0/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L10,%745:4,SkipLayerNorm,1,128,1024,NA,1,128,1024,NA,1024,NA,NA,NA,8,1,128,1024,NA,/model/layers.0/post_attention_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L11,%746,MatMulInteger,1,128,1024,NA,1024,3072,NA,NA,NA,NA,NA,NA,8,1,128,3072,NA,/model/layers.0/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
