Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L1,%174,Conv,1,3,224,224,64,3,7,7,64,NA,NA,NA,8,1,64,112,112,/conv1/Conv,"[1, 1]",1 : si64,"[7, 7]","[3, 3, 3, 3]","[2, 2]"
L2,%175,Relu,1,64,112,112,NA,NA,NA,NA,NA,NA,NA,NA,8,1,64,112,112,/relu/Relu,NA,NA,NA,NA,NA
L3,%178,MatMul,64,64,NA,NA,1,64,3136,NA,NA,NA,NA,NA,8,1,64,3136,NA,/layer1/layer1.0/conv1/Conv_97,NA,NA,NA,NA,NA
L4,%179,Add,1,64,3136,NA,1,64,1,NA,NA,NA,NA,NA,8,1,64,3136,NA,/layer1/layer1.0/conv1/Conv_0,NA,NA,NA,NA,NA
L5,%181,Relu,1,64,56,56,NA,NA,NA,NA,NA,NA,NA,NA,8,1,64,56,56,/layer1/layer1.0/relu/Relu,NA,NA,NA,NA,NA
L6,%182,Conv,1,64,56,56,64,64,3,3,64,NA,NA,NA,8,1,64,56,56,/layer1/layer1.0/conv2/Conv,"[1, 1]",1 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L7,%183,Relu,1,64,56,56,NA,NA,NA,NA,NA,NA,NA,NA,8,1,64,56,56,/layer1/layer1.0/relu_1/Relu,NA,NA,NA,NA,NA
L8,%185,MatMul,256,64,NA,NA,1,64,3136,NA,NA,NA,NA,NA,8,1,256,3136,NA,/layer1/layer1.0/conv3/Conv_99,NA,NA,NA,NA,NA
L9,%186,Add,1,256,3136,NA,1,256,1,NA,NA,NA,NA,NA,8,1,256,3136,NA,/layer1/layer1.0/conv3/Conv_36,NA,NA,NA,NA,NA
L10,%189,MatMul,256,64,NA,NA,1,64,3136,NA,NA,NA,NA,NA,8,1,256,3136,NA,/layer1/layer1.0/downsample/downsample.0/Conv_26,NA,NA,NA,NA,NA
L11,%190,Add,1,256,3136,NA,1,256,1,NA,NA,NA,NA,NA,8,1,256,3136,NA,/layer1/layer1.0/downsample/downsample.0/Conv_49,NA,NA,NA,NA,NA
L12,%192,Add,1,256,56,56,1,256,56,56,NA,NA,NA,NA,8,1,256,56,56,/layer1/layer1.0/Add,NA,NA,NA,NA,NA
L13,%193,Relu,1,256,56,56,NA,NA,NA,NA,NA,NA,NA,NA,8,1,256,56,56,/layer1/layer1.0/relu_2/Relu,NA,NA,NA,NA,NA
L14,%195,MatMul,64,256,NA,NA,1,256,3136,NA,NA,NA,NA,NA,8,1,64,3136,NA,/layer1/layer1.1/conv1/Conv_41,NA,NA,NA,NA,NA
L15,%196,Add,1,64,3136,NA,1,64,1,NA,NA,NA,NA,NA,8,1,64,3136,NA,/layer1/layer1.1/conv1/Conv_74,NA,NA,NA,NA,NA
L16,%198,Relu,1,64,56,56,NA,NA,NA,NA,NA,NA,NA,NA,8,1,64,56,56,/layer1/layer1.1/relu/Relu,NA,NA,NA,NA,NA
L17,%199,Conv,1,64,56,56,64,64,3,3,64,NA,NA,NA,8,1,64,56,56,/layer1/layer1.1/conv2/Conv,"[1, 1]",1 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L18,%200,Relu,1,64,56,56,NA,NA,NA,NA,NA,NA,NA,NA,8,1,64,56,56,/layer1/layer1.1/relu_1/Relu,NA,NA,NA,NA,NA
L19,%202,MatMul,256,64,NA,NA,1,64,3136,NA,NA,NA,NA,NA,8,1,256,3136,NA,/layer1/layer1.1/conv3/Conv_116,NA,NA,NA,NA,NA
L20,%203,Add,1,256,3136,NA,1,256,1,NA,NA,NA,NA,NA,8,1,256,3136,NA,/layer1/layer1.1/conv3/Conv_129,NA,NA,NA,NA,NA
L21,%205,Add,1,256,56,56,1,256,56,56,NA,NA,NA,NA,8,1,256,56,56,/layer1/layer1.1/Add,NA,NA,NA,NA,NA
L22,%206,Relu,1,256,56,56,NA,NA,NA,NA,NA,NA,NA,NA,8,1,256,56,56,/layer1/layer1.1/relu_2/Relu,NA,NA,NA,NA,NA
