Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L1,%32,Conv,1,3,224,224,64,3,3,3,64,NA,NA,NA,8,1,64,224,224,/features/features.0/Conv,"[1, 1]",1 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L2,%33,Relu,1,64,224,224,NA,NA,NA,NA,NA,NA,NA,NA,8,1,64,224,224,/features/features.1/Relu,NA,NA,NA,NA,NA
L3,%34,Conv,1,64,224,224,64,64,3,3,64,NA,NA,NA,8,1,64,224,224,/features/features.2/Conv,"[1, 1]",1 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L4,%35,Relu,1,64,224,224,NA,NA,NA,NA,NA,NA,NA,NA,8,1,64,224,224,/features/features.3/Relu,NA,NA,NA,NA,NA
L5,%37,Conv,1,64,112,112,128,64,3,3,128,NA,NA,NA,8,1,128,112,112,/features/features.5/Conv,"[1, 1]",1 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L6,%38,Relu,1,128,112,112,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,112,112,/features/features.6/Relu,NA,NA,NA,NA,NA
L7,%39,Conv,1,128,112,112,128,128,3,3,128,NA,NA,NA,8,1,128,112,112,/features/features.7/Conv,"[1, 1]",1 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L8,%40,Relu,1,128,112,112,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,112,112,/features/features.8/Relu,NA,NA,NA,NA,NA
L9,%42,Conv,1,128,56,56,256,128,3,3,256,NA,NA,NA,8,1,256,56,56,/features/features.10/Conv,"[1, 1]",1 : si64,"[3, 3]","[1, 1, 1, 1]","[1, 1]"
L10,%43,Relu,1,256,56,56,NA,NA,NA,NA,NA,NA,NA,NA,8,1,256,56,56,/features/features.11/Relu,NA,NA,NA,NA,NA
