Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L1,%205,Conv,1,3,224,224,768,3,16,16,768,NA,NA,NA,8,1,768,14,14,/vit/embeddings/patch_embeddings/projection/Conv,"[1, 1]",1 : si64,"[16, 16]","[0, 0, 0, 0]","[16, 16]"
L2,%209,Add,1,197,768,NA,1,197,768,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/embeddings/Add,NA,NA,NA,NA,NA
L3,%Y,LayerNormalization,1,197,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.0/layernorm_before/Add_1_129,NA,NA,NA,NA,NA
L4,%210,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.0/attention/attention/query/MatMul,NA,NA,NA,NA,NA
L5,%211,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.0/attention/attention/key/MatMul,NA,NA,NA,NA,NA
L6,%212,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.0/attention/attention/value/MatMul,NA,NA,NA,NA,NA
L7,%213,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.0/attention/attention/query/Add_46,NA,NA,NA,NA,NA
L8,%214,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.0/attention/attention/key/Add_58,NA,NA,NA,NA,NA
L9,%215,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.0/attention/attention/value/Add_3,NA,NA,NA,NA,NA
L10,%224,MatMul,1,12,197,64,1,12,64,197,NA,NA,NA,NA,8,1,12,197,197,/vit/encoder/layer.0/attention/attention/MatMul,NA,NA,NA,NA,NA
L11,%225,Softmax,1,12,197,197,NA,NA,NA,NA,NA,NA,NA,NA,8,1,12,197,197,/vit/encoder/layer.0/attention/attention/Softmax,NA,NA,NA,NA,NA
L12,%226,MatMul,1,12,197,197,1,12,197,64,NA,NA,NA,NA,8,1,12,197,64,/vit/encoder/layer.0/attention/attention/MatMul_1,NA,NA,NA,NA,NA
L13,%229,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.0/attention/output/dense/MatMul,NA,NA,NA,NA,NA
L14,%230,Add,1,197,768,NA,1,197,768,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.0/Add-Initializer_vit.encoder.layer.0.attention.output.dense.bias-/vit/encoder/layer.0/attention/output/dense/Add_63,NA,NA,NA,NA,NA
L15,%231,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.0/Add-Initializer_vit.encoder.layer.0.attention.output.dense.bias-/vit/encoder/layer.0/attention/output/dense/Add_14,NA,NA,NA,NA,NA
L16,%Y_0,LayerNormalization,1,197,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.0/layernorm_after/Add_1_56,NA,NA,NA,NA,NA
L17,%232,MatMul,1,197,768,NA,768,3072,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.0/intermediate/dense/MatMul,NA,NA,NA,NA,NA
L18,%233,Add,1,197,3072,NA,3072,NA,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.0/intermediate/dense/Add_5,NA,NA,NA,NA,NA
L19,%234,Gelu,1,197,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.0/intermediate/intermediate_act_fn/Mul_1_12,NA,NA,NA,NA,NA
L20,%235,MatMul,1,197,3072,NA,3072,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.0/output/dense/MatMul,NA,NA,NA,NA,NA
L21,%236,Add,1,197,768,NA,1,197,768,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.0/output/Add-Initializer_vit.encoder.layer.0.output.dense.bias-/vit/encoder/layer.0/output/dense/Add_127,NA,NA,NA,NA,NA
L22,%237,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.0/output/Add-Initializer_vit.encoder.layer.0.output.dense.bias-/vit/encoder/layer.0/output/dense/Add_48,NA,NA,NA,NA,NA
L23,%Y_3,LayerNormalization,1,197,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.1/layernorm_before/Add_1_61,NA,NA,NA,NA,NA
L24,%238,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.1/attention/attention/query/MatMul,NA,NA,NA,NA,NA
L25,%239,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.1/attention/attention/key/MatMul,NA,NA,NA,NA,NA
L26,%240,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.1/attention/attention/value/MatMul,NA,NA,NA,NA,NA
L27,%241,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.1/attention/attention/query/Add_67,NA,NA,NA,NA,NA
L28,%242,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.1/attention/attention/key/Add_59,NA,NA,NA,NA,NA
L29,%243,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.1/attention/attention/value/Add_70,NA,NA,NA,NA,NA
L30,%252,MatMul,1,12,197,64,1,12,64,197,NA,NA,NA,NA,8,1,12,197,197,/vit/encoder/layer.1/attention/attention/MatMul,NA,NA,NA,NA,NA
L31,%253,Softmax,1,12,197,197,NA,NA,NA,NA,NA,NA,NA,NA,8,1,12,197,197,/vit/encoder/layer.1/attention/attention/Softmax,NA,NA,NA,NA,NA
L32,%254,MatMul,1,12,197,197,1,12,197,64,NA,NA,NA,NA,8,1,12,197,64,/vit/encoder/layer.1/attention/attention/MatMul_1,NA,NA,NA,NA,NA
L33,%257,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.1/attention/output/dense/MatMul,NA,NA,NA,NA,NA
L34,%258,Add,1,197,768,NA,1,197,768,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.1/Add-Initializer_vit.encoder.layer.1.attention.output.dense.bias-/vit/encoder/layer.1/attention/output/dense/Add_15,NA,NA,NA,NA,NA
L35,%259,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.1/Add-Initializer_vit.encoder.layer.1.attention.output.dense.bias-/vit/encoder/layer.1/attention/output/dense/Add_123,NA,NA,NA,NA,NA
L36,%Y_6,LayerNormalization,1,197,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.1/layernorm_after/Add_1_54,NA,NA,NA,NA,NA
L37,%260,MatMul,1,197,768,NA,768,3072,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.1/intermediate/dense/MatMul,NA,NA,NA,NA,NA
L38,%261,Add,1,197,3072,NA,3072,NA,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.1/intermediate/dense/Add_83,NA,NA,NA,NA,NA
L39,%262,Gelu,1,197,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.1/intermediate/intermediate_act_fn/Mul_1_30,NA,NA,NA,NA,NA
