Chiplet ID,Tile ID,HW Type,Nbank,NW,NB,CM,Clock Frequency (Hz)
C1,T1,DDR,16,1024,320,4,2000000000.0
C1,T2,Mem Tile,4,1024,320,4,2000000000.0
C1,T3,Mem Tile,1,1024,320,4,2000000000.0
C1,T5,Mem Tile,5,1024,320,4,2000000000.0
C1,T7,Mem Tile,5,1024,320,4,2000000000.0
C1,T8,Mem Tile,8,1024,320,4,2000000000.0
C1,T10,Mem Tile,4,1024,320,4,2000000000.0
C1,T12,Mem Tile,4,1024,320,4,2000000000.0
C1,T13,Mem Tile,17,1024,320,4,2000000000.0
C1,T15,Mem Tile,2,1024,320,4,2000000000.0
C1,T17,Mem Tile,2,1024,320,4,2000000000.0
C1,T18,Mem Tile,22,1024,320,4,2000000000.0
C1,T20,Mem Tile,2,1024,320,4,2000000000.0
C1,T22,Mem Tile,2,1024,320,4,2000000000.0
C1,T23,Mem Tile,15,1024,320,4,2000000000.0
C1,T25,Mem Tile,2,1024,320,4,2000000000.0
C1,T27,Mem Tile,2,1024,320,4,2000000000.0
C1,T28,Mem Tile,922,1024,320,4,2000000000.0
C1,T30,Mem Tile,1,1024,320,4,2000000000.0
C1,T32,Mem Tile,1,1024,320,4,2000000000.0
C1,T33,Mem Tile,410,1024,320,4,2000000000.0
C1,T35,Mem Tile,1,1024,320,4,2000000000.0
C1,T37,Mem Tile,1,1024,320,4,2000000000.0
C1,T38,Mem Tile,100,1024,320,4,2000000000.0
C1,T40,Mem Tile,1,1024,320,4,2000000000.0
