Chiplet ID,Tile ID,HW Type,Nbank,NW,NB,CM,Clock Frequency (Hz)
C1,T1,DDR,16,1024,320,4,1000000000.0
C1,T6,Mem Tile,1,1024,320,4,1000000000.0
C1,T7,Mem Tile,4035,1024,320,4,1000000000.0
C1,T8,Mem Tile,654,1024,320,4,1000000000.0
C2,T6,Mem Tile,4574,1024,320,4,1000000000.0
C2,T7,Mem Tile,720,1024,320,4,1000000000.0
C3,T6,Mem Tile,4201,1024,320,4,1000000000.0
C3,T7,Mem Tile,675,1024,320,4,1000000000.0
C4,T6,Mem Tile,11723,1024,320,4,1000000000.0
C4,T7,Mem Tile,1506,1024,320,4,1000000000.0
