Chiplet ID,Tile ID,HW Type,Nbank,NW,NB,CM,Clock Frequency (Hz)
C1,T1,DDR,16,1024,320,4,1000000000.0
C1,T4,Mem Tile,1,1024,320,4,1000000000.0
C1,T5,Mem Tile,89,1024,320,4,1000000000.0
C1,T6,Mem Tile,654,1024,320,4,1000000000.0
C2,T4,Mem Tile,205,1024,320,4,1000000000.0
C2,T5,Mem Tile,754,1024,320,4,1000000000.0
C3,T4,Mem Tile,175,1024,320,4,1000000000.0
C3,T5,Mem Tile,754,1024,320,4,1000000000.0
C4,T4,Mem Tile,205,1024,320,4,1000000000.0
C4,T5,Mem Tile,438,1024,320,4,1000000000.0
C5,T4,Mem Tile,146,1024,320,4,1000000000.0
C5,T5,Mem Tile,567,1024,320,4,1000000000.0
C6,T4,Mem Tile,205,1024,320,4,1000000000.0
C6,T5,Mem Tile,754,1024,320,4,1000000000.0
C7,T4,Mem Tile,147,1024,320,4,1000000000.0
C7,T5,Mem Tile,711,1024,320,4,1000000000.0
C8,T4,Mem Tile,147,1024,320,4,1000000000.0
C8,T5,Mem Tile,711,1024,320,4,1000000000.0
C9,T4,Mem Tile,190,1024,320,4,1000000000.0
C9,T5,Mem Tile,754,1024,320,4,1000000000.0
C10,T4,Mem Tile,190,1024,320,4,1000000000.0
C10,T5,Mem Tile,596,1024,320,4,1000000000.0
C11,T4,Mem Tile,190,1024,320,4,1000000000.0
C11,T5,Mem Tile,438,1024,320,4,1000000000.0
C12,T4,Mem Tile,161,1024,320,4,1000000000.0
C12,T5,Mem Tile,725,1024,320,4,1000000000.0
C13,T4,Mem Tile,147,1024,320,4,1000000000.0
C13,T5,Mem Tile,754,1024,320,4,1000000000.0
C14,T4,Mem Tile,147,1024,320,4,1000000000.0
C14,T5,Mem Tile,668,1024,320,4,1000000000.0
C15,T4,Mem Tile,1059,1024,320,4,1000000000.0
C15,T5,Mem Tile,1107,1024,320,4,1000000000.0
