Chiplet ID,Tile ID,HW Type,Nbank,NW,NB,CM,Clock Frequency (Hz)
C1,T1,DDR,16,1024,320,4,1000000000.0
C1,T4,Mem Tile,1,1024,320,4,1000000000.0
C1,T5,Mem Tile,273,1024,320,4,1000000000.0
C1,T6,Mem Tile,104,1024,320,4,1000000000.0
C2,T4,Mem Tile,1907,1024,320,4,1000000000.0
C2,T5,Mem Tile,111,1024,320,4,1000000000.0
C3,T4,Mem Tile,1907,1024,320,4,1000000000.0
C3,T5,Mem Tile,130,1024,320,4,1000000000.0
C4,T4,Mem Tile,1502,1024,320,4,1000000000.0
C4,T5,Mem Tile,116,1024,320,4,1000000000.0
C5,T4,Mem Tile,1912,1024,320,4,1000000000.0
C5,T5,Mem Tile,86,1024,320,4,1000000000.0
C6,T4,Mem Tile,1502,1024,320,4,1000000000.0
C6,T5,Mem Tile,87,1024,320,4,1000000000.0
C7,T4,Mem Tile,1502,1024,320,4,1000000000.0
C7,T5,Mem Tile,98,1024,320,4,1000000000.0
C8,T4,Mem Tile,1605,1024,320,4,1000000000.0
C8,T5,Mem Tile,76,1024,320,4,1000000000.0
C9,T4,Mem Tile,7929,1024,320,4,1000000000.0
C9,T5,Mem Tile,497,1024,320,4,1000000000.0
C10,T4,Mem Tile,1517,1024,320,4,1000000000.0
C10,T5,Mem Tile,70,1024,320,4,1000000000.0
C11,T4,Mem Tile,1491,1024,320,4,1000000000.0
C11,T5,Mem Tile,98,1024,320,4,1000000000.0
C12,T4,Mem Tile,1491,1024,320,4,1000000000.0
C12,T5,Mem Tile,50,1024,320,4,1000000000.0
C13,T4,Mem Tile,1492,1024,320,4,1000000000.0
C13,T5,Mem Tile,43,1024,320,4,1000000000.0
C14,T4,Mem Tile,1491,1024,320,4,1000000000.0
C14,T5,Mem Tile,55,1024,320,4,1000000000.0
C15,T4,Mem Tile,1491,1024,320,4,1000000000.0
C15,T5,Mem Tile,55,1024,320,4,1000000000.0
C16,T4,Mem Tile,1342,1024,320,4,1000000000.0
C16,T5,Mem Tile,14,1024,320,4,1000000000.0
