Chiplet ID,Tile ID,HW Type,Nbank,NW,NB,CM,Clock Frequency (Hz)
C1,T1,DDR,16,1024,320,4,2000000000.0
C1,T2,Mem Tile,4,1024,320,4,2000000000.0
C1,T3,Mem Tile,1,1024,320,4,2000000000.0
C1,T5,Mem Tile,10,1024,320,4,2000000000.0
C1,T7,Mem Tile,10,1024,320,4,2000000000.0
C1,T8,Mem Tile,1,1024,320,4,2000000000.0
C1,T10,Mem Tile,10,1024,320,4,2000000000.0
C1,T12,Mem Tile,10,1024,320,4,2000000000.0
C1,T13,Mem Tile,10,1024,320,4,2000000000.0
C1,T15,Mem Tile,5,1024,320,4,2000000000.0
C1,T17,Mem Tile,5,1024,320,4,2000000000.0
C1,T18,Mem Tile,5,1024,320,4,2000000000.0
C1,T20,Mem Tile,30,1024,320,4,2000000000.0
C1,T22,Mem Tile,30,1024,320,4,2000000000.0
C1,T24,Mem Tile,30,1024,320,4,2000000000.0
C1,T25,Mem Tile,1,1024,320,4,2000000000.0
C1,T27,Mem Tile,8,1024,320,4,2000000000.0
C1,T29,Mem Tile,8,1024,320,4,2000000000.0
C1,T30,Mem Tile,8,1024,320,4,2000000000.0
C1,T32,Mem Tile,2,1024,320,4,2000000000.0
C1,T34,Mem Tile,2,1024,320,4,2000000000.0
C1,T35,Mem Tile,2,1024,320,4,2000000000.0
C1,T37,Mem Tile,12,1024,320,4,2000000000.0
C1,T39,Mem Tile,12,1024,320,4,2000000000.0
C1,T41,Mem Tile,12,1024,320,4,2000000000.0
C1,T42,Mem Tile,1,1024,320,4,2000000000.0
C1,T44,Mem Tile,12,1024,320,4,2000000000.0
C1,T46,Mem Tile,12,1024,320,4,2000000000.0
C1,T47,Mem Tile,12,1024,320,4,2000000000.0
C1,T49,Mem Tile,2,1024,320,4,2000000000.0
C1,T51,Mem Tile,2,1024,320,4,2000000000.0
C1,T53,Mem Tile,2,1024,320,4,2000000000.0
C1,T54,Mem Tile,2,1024,320,4,2000000000.0
C1,T56,Mem Tile,12,1024,320,4,2000000000.0
C1,T58,Mem Tile,12,1024,320,4,2000000000.0
