Chiplet ID,Tile ID,HW Type,Nbank,NW,NB,CM,Clock Frequency (Hz)
C1,T1,DDR,16,1024,320,4,2000000000.0
C1,T2,Mem Tile,4,1024,320,4,2000000000.0
C1,T4,Mem Tile,10,1024,320,4,2000000000.0
C1,T6,Mem Tile,1,1024,320,4,2000000000.0
C1,T7,Mem Tile,52,1024,320,4,2000000000.0
C1,T9,Mem Tile,7,1024,320,4,2000000000.0
C1,T10,Mem Tile,26,1024,320,4,2000000000.0
C1,T12,Mem Tile,4,1024,320,4,2000000000.0
C1,T13,Mem Tile,26,1024,320,4,2000000000.0
C1,T15,Mem Tile,4,1024,320,4,2000000000.0
C1,T17,Mem Tile,7,1024,320,4,2000000000.0
C1,T19,Mem Tile,4,1024,320,4,2000000000.0
C1,T20,Mem Tile,4,1024,320,4,2000000000.0
C1,T22,Mem Tile,7,1024,320,4,2000000000.0
C1,T23,Mem Tile,52,1024,320,4,2000000000.0
C1,T25,Mem Tile,4,1024,320,4,2000000000.0
C1,T27,Mem Tile,4,1024,320,4,2000000000.0
C1,T28,Mem Tile,77,1024,320,4,2000000000.0
C1,T30,Mem Tile,10,1024,320,4,2000000000.0
C1,T31,Mem Tile,77,1024,320,4,2000000000.0
C1,T33,Mem Tile,10,1024,320,4,2000000000.0
C1,T35,Mem Tile,10,1024,320,4,2000000000.0
C1,T36,Mem Tile,77,1024,320,4,2000000000.0
C1,T38,Mem Tile,4,1024,320,4,2000000000.0
C1,T40,Mem Tile,4,1024,320,4,2000000000.0
C1,T41,Mem Tile,52,1024,320,4,2000000000.0
C1,T43,Mem Tile,7,1024,320,4,2000000000.0
C1,T44,Mem Tile,26,1024,320,4,2000000000.0
C1,T46,Mem Tile,4,1024,320,4,2000000000.0
C1,T47,Mem Tile,26,1024,320,4,2000000000.0
C1,T49,Mem Tile,4,1024,320,4,2000000000.0
C1,T51,Mem Tile,7,1024,320,4,2000000000.0
C1,T53,Mem Tile,4,1024,320,4,2000000000.0
C1,T54,Mem Tile,4,1024,320,4,2000000000.0
C1,T56,Mem Tile,7,1024,320,4,2000000000.0
