Chiplet ID,Tile ID,HW Type,SA_size_x,SA_size_y,n_SA,prec,Clock Frequency (Hz)
C1,T10,SA,16,16,2,8,1000000000.0
C1,T13,SA,16,16,2,8,1000000000.0
C1,T20,SA,16,16,2,8,1000000000.0
C1,T23,SA,16,16,2,8,1000000000.0
C1,T30,SA,16,16,2,8,1000000000.0
C1,T35,SA,16,16,2,8,1000000000.0
C1,T42,SA,16,16,2,8,1000000000.0
C1,T45,SA,16,16,2,8,1000000000.0
C1,T52,SA,16,16,2,8,1000000000.0
C1,T55,SA,16,16,2,8,1000000000.0
C1,T62,SA,16,16,2,8,1000000000.0
C1,T67,SA,16,16,2,8,1000000000.0
C1,T74,SA,16,16,2,8,1000000000.0
C1,T77,SA,16,16,2,8,1000000000.0
C1,T84,SA,16,16,2,8,1000000000.0
C1,T87,SA,16,16,2,8,1000000000.0
C1,T94,SA,16,16,2,8,1000000000.0
C1,T99,SA,16,16,2,8,1000000000.0
C1,T106,SA,16,16,2,8,1000000000.0
C1,T109,SA,16,16,2,8,1000000000.0
C1,T116,SA,16,16,2,8,1000000000.0
C1,T119,SA,16,16,2,8,1000000000.0
C1,T126,SA,16,16,2,8,1000000000.0
C1,T131,SA,16,16,2,8,1000000000.0
C1,T138,SA,16,16,2,8,1000000000.0
C1,T141,SA,16,16,2,8,1000000000.0
C1,T148,SA,16,16,2,8,1000000000.0
C1,T151,SA,16,16,2,8,1000000000.0
C1,T158,SA,16,16,2,8,1000000000.0
C1,T163,SA,16,16,2,8,1000000000.0
C1,T170,SA,16,16,2,8,1000000000.0
C1,T173,SA,16,16,2,8,1000000000.0
C1,T180,SA,16,16,2,8,1000000000.0
C1,T183,SA,16,16,2,8,1000000000.0
C1,T190,SA,16,16,2,8,1000000000.0
C1,T195,SA,16,16,2,8,1000000000.0
C1,T202,SA,16,16,2,8,1000000000.0
C1,T205,SA,16,16,2,8,1000000000.0
C1,T212,SA,16,16,2,8,1000000000.0
C1,T215,SA,16,16,2,8,1000000000.0
C1,T222,SA,16,16,2,8,1000000000.0
C1,T227,SA,16,16,2,8,1000000000.0
C1,T234,SA,16,16,2,8,1000000000.0
C1,T237,SA,16,16,2,8,1000000000.0
C1,T244,SA,16,16,2,8,1000000000.0
C1,T247,SA,16,16,2,8,1000000000.0
C1,T254,SA,16,16,2,8,1000000000.0
C1,T259,SA,16,16,2,8,1000000000.0
C1,T266,SA,16,16,2,8,1000000000.0
C1,T269,SA,16,16,2,8,1000000000.0
C1,T276,SA,16,16,2,8,1000000000.0
C1,T279,SA,16,16,2,8,1000000000.0
C1,T286,SA,16,16,2,8,1000000000.0
C1,T291,SA,16,16,2,8,1000000000.0
C1,T298,SA,16,16,2,8,1000000000.0
C1,T301,SA,16,16,2,8,1000000000.0
C1,T308,SA,16,16,2,8,1000000000.0
C1,T311,SA,16,16,2,8,1000000000.0
C1,T318,SA,16,16,2,8,1000000000.0
C1,T323,SA,16,16,2,8,1000000000.0
C1,T330,SA,16,16,2,8,1000000000.0
C1,T333,SA,16,16,2,8,1000000000.0
C1,T340,SA,16,16,2,8,1000000000.0
C1,T343,SA,16,16,2,8,1000000000.0
C1,T350,SA,16,16,2,8,1000000000.0
C1,T355,SA,16,16,2,8,1000000000.0
C1,T362,SA,16,16,2,8,1000000000.0
C1,T365,SA,16,16,2,8,1000000000.0
C1,T372,SA,16,16,2,8,1000000000.0
C1,T375,SA,16,16,2,8,1000000000.0
C1,T382,SA,16,16,2,8,1000000000.0
C1,T387,SA,16,16,2,8,1000000000.0
C1,T394,SA,16,16,2,8,1000000000.0
