Chiplet ID,Tile ID,HW Type,SA_size_x,SA_size_y,n_SA,prec,Clock Frequency (Hz)
C1,T8,SA,373,16,2,8,2000000000.0
C1,T11,SA,373,16,2,8,2000000000.0
C1,T14,SA,373,16,2,8,2000000000.0
C1,T21,SA,373,16,2,8,2000000000.0
C1,T24,SA,373,16,2,8,2000000000.0
C1,T29,SA,373,16,2,8,2000000000.0
C1,T32,SA,373,16,2,8,2000000000.0
C1,T37,SA,373,16,2,8,2000000000.0
C1,T42,SA,373,16,2,8,2000000000.0
C1,T45,SA,373,16,2,8,2000000000.0
C1,T48,SA,373,16,2,8,2000000000.0
C1,T55,SA,373,16,2,8,2000000000.0
C1,T58,SA,373,16,2,8,2000000000.0
C1,T63,SA,373,16,2,8,2000000000.0
C1,T66,SA,373,16,2,8,2000000000.0
C1,T71,SA,373,16,2,8,2000000000.0
C1,T76,SA,373,16,2,8,2000000000.0
C1,T79,SA,373,16,2,8,2000000000.0
C1,T82,SA,373,16,2,8,2000000000.0
C1,T89,SA,373,16,2,8,2000000000.0
C1,T92,SA,373,16,2,8,2000000000.0
C1,T97,SA,373,16,2,8,2000000000.0
C1,T100,SA,373,16,2,8,2000000000.0
C1,T105,SA,373,16,2,8,2000000000.0
C1,T110,SA,373,16,2,8,2000000000.0
C1,T113,SA,373,16,2,8,2000000000.0
C1,T116,SA,373,16,2,8,2000000000.0
C1,T123,SA,373,16,2,8,2000000000.0
C1,T126,SA,373,16,2,8,2000000000.0
C1,T131,SA,373,16,2,8,2000000000.0
C1,T134,SA,373,16,2,8,2000000000.0
C1,T139,SA,373,16,2,8,2000000000.0
C1,T144,SA,373,16,2,8,2000000000.0
C1,T147,SA,373,16,2,8,2000000000.0
C1,T150,SA,373,16,2,8,2000000000.0
C1,T157,SA,373,16,2,8,2000000000.0
C1,T160,SA,373,16,2,8,2000000000.0
C1,T165,SA,373,16,2,8,2000000000.0
C1,T168,SA,373,16,2,8,2000000000.0
C1,T173,SA,373,16,2,8,2000000000.0
C1,T178,SA,373,16,2,8,2000000000.0
C1,T181,SA,373,16,2,8,2000000000.0
C1,T184,SA,373,16,2,8,2000000000.0
C1,T191,SA,373,16,2,8,2000000000.0
C1,T194,SA,373,16,2,8,2000000000.0
C1,T199,SA,373,16,2,8,2000000000.0
C1,T202,SA,373,16,2,8,2000000000.0
C1,T207,SA,373,16,2,8,2000000000.0
C1,T212,SA,373,16,2,8,2000000000.0
C1,T215,SA,373,16,2,8,2000000000.0
C1,T218,SA,373,16,2,8,2000000000.0
C1,T225,SA,373,16,2,8,2000000000.0
C1,T228,SA,373,16,2,8,2000000000.0
C1,T233,SA,373,16,2,8,2000000000.0
C1,T236,SA,373,16,2,8,2000000000.0
C1,T241,SA,373,16,2,8,2000000000.0
C1,T246,SA,373,16,2,8,2000000000.0
C1,T249,SA,373,16,2,8,2000000000.0
C1,T252,SA,373,16,2,8,2000000000.0
C1,T259,SA,373,16,2,8,2000000000.0
C1,T262,SA,373,16,2,8,2000000000.0
C1,T267,SA,373,16,2,8,2000000000.0
C1,T270,SA,373,16,2,8,2000000000.0
C1,T275,SA,373,16,2,8,2000000000.0
C1,T280,SA,373,16,2,8,2000000000.0
C1,T283,SA,373,16,2,8,2000000000.0
C1,T286,SA,373,16,2,8,2000000000.0
C1,T293,SA,373,16,2,8,2000000000.0
C1,T296,SA,373,16,2,8,2000000000.0
C1,T301,SA,373,16,2,8,2000000000.0
C1,T304,SA,373,16,2,8,2000000000.0
C1,T309,SA,373,16,2,8,2000000000.0
C1,T314,SA,373,16,2,8,2000000000.0
C1,T317,SA,373,16,2,8,2000000000.0
C1,T320,SA,373,16,2,8,2000000000.0
C1,T327,SA,373,16,2,8,2000000000.0
