Chiplet ID,Tile ID,HW Type,SA_size_x,SA_size_y,n_SA,prec,Clock Frequency (Hz)
C1,T2,SA,128,16,2,8,1000000000.0
C1,T3,SA,128,16,2,8,1000000000.0
C2,T1,SA,128,16,2,8,1000000000.0
C2,T2,SA,128,16,2,8,1000000000.0
C3,T1,SA,128,16,2,8,1000000000.0
C3,T2,SA,128,16,2,8,1000000000.0
C4,T1,SA,128,16,2,8,1000000000.0
C4,T2,SA,128,16,2,8,1000000000.0
C5,T1,SA,128,16,2,8,1000000000.0
C5,T2,SA,128,16,2,8,1000000000.0
C6,T1,SA,128,16,2,8,1000000000.0
C6,T2,SA,128,16,2,8,1000000000.0
C7,T1,SA,128,16,2,8,1000000000.0
C7,T2,SA,128,16,2,8,1000000000.0
C8,T1,SA,128,16,2,8,1000000000.0
C8,T2,SA,128,16,2,8,1000000000.0
C9,T1,SA,128,16,2,8,1000000000.0
C9,T2,SA,128,16,2,8,1000000000.0
C10,T1,SA,128,16,2,8,1000000000.0
C10,T2,SA,128,16,2,8,1000000000.0
C11,T1,SA,128,16,2,8,1000000000.0
C11,T2,SA,128,16,2,8,1000000000.0
C12,T1,SA,128,16,2,8,1000000000.0
C12,T2,SA,128,16,2,8,1000000000.0
