Chiplet ID,Tile ID,HW Type,SA_size_x,SA_size_y,n_SA,prec,Clock Frequency (Hz)
C1,T4,SA,64,16,2,8,1000000000.0
C1,T9,SA,64,16,2,8,1000000000.0
C1,T14,SA,64,16,2,8,1000000000.0
C1,T19,SA,64,16,2,8,1000000000.0
C1,T24,SA,64,16,2,8,1000000000.0
C1,T29,SA,64,16,2,8,1000000000.0
C1,T34,SA,64,16,2,8,1000000000.0
C1,T39,SA,64,16,2,8,1000000000.0
C1,T44,SA,64,16,2,8,1000000000.0
C1,T49,SA,64,16,2,8,1000000000.0
C1,T54,SA,64,16,2,8,1000000000.0
C1,T59,SA,64,16,2,8,1000000000.0
C1,T64,SA,64,16,2,8,1000000000.0
C1,T69,SA,64,16,2,8,1000000000.0
C1,T74,SA,64,16,2,8,1000000000.0
C1,T79,SA,64,16,2,8,1000000000.0
