Chiplet ID,Tile ID,HW Type,SA_size_x,SA_size_y,n_SA,prec,Clock Frequency (Hz)
C1,T4,SA,16,16,2,8,1000000000.0
C1,T11,SA,16,16,2,8,1000000000.0
C1,T13,SA,16,16,2,8,1000000000.0
C1,T15,SA,16,16,2,8,1000000000.0
C1,T24,SA,16,16,2,8,1000000000.0
C1,T29,SA,16,16,2,8,1000000000.0
C1,T32,SA,16,16,2,8,1000000000.0
C1,T41,SA,16,16,2,8,1000000000.0
C1,T48,SA,16,16,2,8,1000000000.0
C1,T57,SA,16,16,2,8,1000000000.0
C1,T59,SA,16,16,2,8,1000000000.0
C1,T61,SA,16,16,2,8,1000000000.0
C1,T70,SA,16,16,2,8,1000000000.0
C1,T75,SA,16,16,2,8,1000000000.0
C1,T78,SA,16,16,2,8,1000000000.0
C1,T87,SA,16,16,2,8,1000000000.0
C1,T94,SA,16,16,2,8,1000000000.0
C1,T103,SA,16,16,2,8,1000000000.0
C1,T105,SA,16,16,2,8,1000000000.0
C1,T107,SA,16,16,2,8,1000000000.0
C1,T116,SA,16,16,2,8,1000000000.0
C1,T121,SA,16,16,2,8,1000000000.0
C1,T124,SA,16,16,2,8,1000000000.0
C1,T133,SA,16,16,2,8,1000000000.0
C1,T140,SA,16,16,2,8,1000000000.0
C1,T149,SA,16,16,2,8,1000000000.0
C1,T151,SA,16,16,2,8,1000000000.0
C1,T153,SA,16,16,2,8,1000000000.0
C1,T162,SA,16,16,2,8,1000000000.0
C1,T167,SA,16,16,2,8,1000000000.0
C1,T170,SA,16,16,2,8,1000000000.0
C1,T179,SA,16,16,2,8,1000000000.0
C1,T186,SA,16,16,2,8,1000000000.0
C1,T195,SA,16,16,2,8,1000000000.0
C1,T197,SA,16,16,2,8,1000000000.0
C1,T199,SA,16,16,2,8,1000000000.0
C1,T208,SA,16,16,2,8,1000000000.0
C1,T213,SA,16,16,2,8,1000000000.0
C1,T216,SA,16,16,2,8,1000000000.0
C1,T225,SA,16,16,2,8,1000000000.0
C1,T232,SA,16,16,2,8,1000000000.0
C1,T241,SA,16,16,2,8,1000000000.0
C1,T243,SA,16,16,2,8,1000000000.0
C1,T245,SA,16,16,2,8,1000000000.0
C1,T254,SA,16,16,2,8,1000000000.0
C1,T259,SA,16,16,2,8,1000000000.0
C1,T262,SA,16,16,2,8,1000000000.0
C1,T271,SA,16,16,2,8,1000000000.0
C1,T278,SA,16,16,2,8,1000000000.0
C1,T287,SA,16,16,2,8,1000000000.0
C1,T289,SA,16,16,2,8,1000000000.0
C1,T291,SA,16,16,2,8,1000000000.0
C1,T300,SA,16,16,2,8,1000000000.0
C1,T305,SA,16,16,2,8,1000000000.0
C1,T308,SA,16,16,2,8,1000000000.0
C1,T317,SA,16,16,2,8,1000000000.0
C1,T324,SA,16,16,2,8,1000000000.0
C1,T333,SA,16,16,2,8,1000000000.0
C1,T335,SA,16,16,2,8,1000000000.0
C1,T337,SA,16,16,2,8,1000000000.0
C1,T346,SA,16,16,2,8,1000000000.0
C1,T351,SA,16,16,2,8,1000000000.0
C1,T354,SA,16,16,2,8,1000000000.0
C1,T363,SA,16,16,2,8,1000000000.0
C1,T370,SA,16,16,2,8,1000000000.0
C1,T379,SA,16,16,2,8,1000000000.0
C1,T381,SA,16,16,2,8,1000000000.0
C1,T383,SA,16,16,2,8,1000000000.0
C1,T392,SA,16,16,2,8,1000000000.0
C1,T397,SA,16,16,2,8,1000000000.0
C1,T400,SA,16,16,2,8,1000000000.0
C1,T409,SA,16,16,2,8,1000000000.0
C1,T416,SA,16,16,2,8,1000000000.0
C1,T425,SA,16,16,2,8,1000000000.0
C1,T427,SA,16,16,2,8,1000000000.0
C1,T429,SA,16,16,2,8,1000000000.0
C1,T438,SA,16,16,2,8,1000000000.0
C1,T443,SA,16,16,2,8,1000000000.0
C1,T446,SA,16,16,2,8,1000000000.0
C1,T455,SA,16,16,2,8,1000000000.0
C1,T462,SA,16,16,2,8,1000000000.0
C1,T471,SA,16,16,2,8,1000000000.0
C1,T473,SA,16,16,2,8,1000000000.0
C1,T475,SA,16,16,2,8,1000000000.0
C1,T484,SA,16,16,2,8,1000000000.0
C1,T489,SA,16,16,2,8,1000000000.0
C1,T492,SA,16,16,2,8,1000000000.0
C1,T501,SA,16,16,2,8,1000000000.0
C1,T508,SA,16,16,2,8,1000000000.0
C1,T517,SA,16,16,2,8,1000000000.0
C1,T519,SA,16,16,2,8,1000000000.0
C1,T521,SA,16,16,2,8,1000000000.0
C1,T530,SA,16,16,2,8,1000000000.0
C1,T535,SA,16,16,2,8,1000000000.0
C1,T538,SA,16,16,2,8,1000000000.0
C1,T547,SA,16,16,2,8,1000000000.0
C1,T554,SA,16,16,2,8,1000000000.0
C1,T563,SA,16,16,2,8,1000000000.0
