Chiplet ID,Tile ID,HW Type,Nbank,NW,NB,CM,Clock Frequency (Hz),Next Layer Type,mem_place,Accesses_r,Accesses_w,ddr_reuse_mul_r,dim1,dim2,dim3,dim4,mem_req_layer,DDR_access_layer,ddr_reuse_mul_w,F_non_zeros_r,F_non_zeros_w,mem_req_tn,DDR_access_tn,NW_real,NB_real,F_actbitlines
C1,T1,DDR,16,1024,320,4,1000000000.0,{'DDR': 'DDR'},{'DDR': 'Mem'},35015066,35015066,{'DDR': 1},{'DDR': 0},{'DDR': 0},{'DDR': 0},{'DDR': 0},{'DDR': 0},{'DDR': True},1.0,0.5,0.5,11204820992.0,True,1024.0,320.0,1.0
C1,T2,Mem Tile,1,1024,320,4,1000000000.0,{'L1': 'LayerNorm'},{'L1': 'I'},{'L1': 3277},{'L1': 3277},{'L1': 0},{'L1': 1},{'L1': 128},{'L1': 1024.0},{'L1': nan},{'L1': 1048576},{'L1': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T4,Mem Tile,1,1024,320,4,1000000000.0,{'L1': 'LayerNorm'},{'L1': 'O'},{'L1': 9831},{'L1': 9831},{'L1': 1},{'L1': 1},{'L1': 128},{'L1': 3072.0},{'L1': nan},{'L1': 3145728},{'L1': True},1.0,0.5,0.5,3145728.0,True,1024.0,320.0,1.0
C1,T6,Mem Tile,1,1024,320,4,1000000000.0,{'L2': 'Add'},{'L2': 'O'},{'L2': 1},{'L2': 1},{'L2': 1},{'L2': 1},{'L2': 1},{'L2': nan},{'L2': nan},{'L2': 8},{'L2': False},1.0,0.5,0.5,8.0,False,1024.0,320.0,1.0
C1,T7,Mem Tile,1,1024,320,4,1000000000.0,{'L3': 'MatMulInteger'},{'L3': 'W'},{'L3': 52429},{'L3': 52429},{'L3': 1},{'L3': 1024.0},{'L3': 2048.0},{'L3': nan},{'L3': nan},{'L3': 16777216},{'L3': True},1.0,0.5,0.5,16777216.0,True,1024.0,320.0,1.0
C1,T9,Mem Tile,1,1024,320,4,1000000000.0,{'L3': 'MatMulInteger'},{'L3': 'O'},{'L3': 6554},{'L3': 6554},{'L3': 1},{'L3': 1},{'L3': 128},{'L3': 2048.0},{'L3': nan},{'L3': 2097152},{'L3': True},1.0,0.5,0.5,2097152.0,True,1024.0,320.0,1.0
C1,T10,Mem Tile,1,1024,320,4,1000000000.0,{'L4': 'MatMulInteger'},{'L4': 'W'},{'L4': 26215},{'L4': 26215},{'L4': 1},{'L4': 1024.0},{'L4': 1024.0},{'L4': nan},{'L4': nan},{'L4': 8388608},{'L4': True},1.0,0.5,0.5,8388608.0,True,1024.0,320.0,1.0
C1,T12,Mem Tile,1,1024,320,4,1000000000.0,{'L4': 'MatMulInteger'},{'L4': 'O'},{'L4': 3277},{'L4': 3277},{'L4': 1},{'L4': 1},{'L4': 128},{'L4': 1024.0},{'L4': nan},{'L4': 1048576},{'L4': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T13,Mem Tile,1,1024,320,4,1000000000.0,{'L5': 'MatMulInteger'},{'L5': 'W'},{'L5': 26215},{'L5': 26215},{'L5': 1},{'L5': 1024.0},{'L5': 1024.0},{'L5': nan},{'L5': nan},{'L5': 8388608},{'L5': True},1.0,0.5,0.5,8388608.0,True,1024.0,320.0,1.0
C1,T15,Mem Tile,1,1024,320,4,1000000000.0,{'L5': 'MatMulInteger'},{'L5': 'O'},{'L5': 3277},{'L5': 3277},{'L5': 1},{'L5': 1},{'L5': 128},{'L5': 1024.0},{'L5': nan},{'L5': 1048576},{'L5': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T17,Mem Tile,1,1024,320,4,1000000000.0,{'L6': 'SimplifiedLayerNormalization'},{'L6': 'O'},{'L6': 6554},{'L6': 6554},{'L6': 1},{'L6': 1},{'L6': 2048},{'L6': 128.0},{'L6': nan},{'L6': 2097152},{'L6': True},1.0,0.5,0.5,2097152.0,True,1024.0,320.0,1.0
C1,T19,Mem Tile,1,1024,320,4,1000000000.0,{'L7': 'SimplifiedLayerNormalization'},{'L7': 'O'},{'L7': 3277},{'L7': 3277},{'L7': 1},{'L7': 1},{'L7': 1024},{'L7': 128.0},{'L7': nan},{'L7': 1048576},{'L7': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T20,Mem Tile,1,1024,320,4,1000000000.0,{'L8': 'GroupQueryAttention'},{'L8': 'W'},{'L8': 3277},{'L8': 3277},{'L8': 1},{'L8': 1.0},{'L8': 128.0},{'L8': 1024.0},{'L8': nan},{'L8': 1048576},{'L8': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T22,Mem Tile,1,1024,320,4,1000000000.0,{'L8': 'GroupQueryAttention'},{'L8': 'O'},{'L8': 6554},{'L8': 6554},{'L8': 1},{'L8': 1},{'L8': 128},{'L8': 2048.0},{'L8': nan},{'L8': 2097152},{'L8': True},1.0,0.5,0.5,2097152.0,True,1024.0,320.0,1.0
C1,T23,Mem Tile,1,1024,320,4,1000000000.0,{'L9': 'MatMulInteger'},{'L9': 'W'},{'L9': 52429},{'L9': 52429},{'L9': 1},{'L9': 2048.0},{'L9': 1024.0},{'L9': nan},{'L9': nan},{'L9': 16777216},{'L9': True},1.0,0.5,0.5,16777216.0,True,1024.0,320.0,1.0
C1,T25,Mem Tile,1,1024,320,4,1000000000.0,{'L9': 'MatMulInteger'},{'L9': 'O'},{'L9': 3277},{'L9': 3277},{'L9': 1},{'L9': 1},{'L9': 128},{'L9': 1024.0},{'L9': nan},{'L9': 1048576},{'L9': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T27,Mem Tile,1,1024,320,4,1000000000.0,{'L10': 'SkipLayerNorm'},{'L10': 'O'},{'L10': 3277},{'L10': 3277},{'L10': 1},{'L10': 1},{'L10': 128},{'L10': 1024.0},{'L10': nan},{'L10': 1048576},{'L10': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T28,Mem Tile,1,1024,320,4,1000000000.0,{'L11': 'MatMulInteger'},{'L11': 'W'},{'L11': 78644},{'L11': 78644},{'L11': 1},{'L11': 1024.0},{'L11': 3072.0},{'L11': nan},{'L11': nan},{'L11': 25165824},{'L11': True},1.0,0.5,0.5,25165824.0,True,1024.0,320.0,1.0
C1,T30,Mem Tile,1,1024,320,4,1000000000.0,{'L11': 'MatMulInteger'},{'L11': 'O'},{'L11': 9831},{'L11': 9831},{'L11': 1},{'L11': 1},{'L11': 128},{'L11': 3072.0},{'L11': nan},{'L11': 3145728},{'L11': True},1.0,0.5,0.5,3145728.0,True,1024.0,320.0,1.0
C1,T31,Mem Tile,1,1024,320,4,1000000000.0,{'L12': 'MatMulInteger'},{'L12': 'W'},{'L12': 78644},{'L12': 78644},{'L12': 1},{'L12': 1024.0},{'L12': 3072.0},{'L12': nan},{'L12': nan},{'L12': 25165824},{'L12': True},1.0,0.5,0.5,25165824.0,True,1024.0,320.0,1.0
C1,T33,Mem Tile,1,1024,320,4,1000000000.0,{'L12': 'MatMulInteger'},{'L12': 'O'},{'L12': 9831},{'L12': 9831},{'L12': 1},{'L12': 1},{'L12': 128},{'L12': 3072.0},{'L12': nan},{'L12': 3145728},{'L12': True},1.0,0.5,0.5,3145728.0,True,1024.0,320.0,1.0
C1,T35,Mem Tile,1,1024,320,4,1000000000.0,{'L13': 'Sigmoid'},{'L13': 'O'},{'L13': 9831},{'L13': 9831},{'L13': 1},{'L13': 1},{'L13': 128},{'L13': 3072.0},{'L13': nan},{'L13': 3145728},{'L13': True},1.0,0.5,0.5,3145728.0,True,1024.0,320.0,1.0
C1,T36,Mem Tile,1,1024,320,4,1000000000.0,{'L14': 'MatMulInteger'},{'L14': 'W'},{'L14': 78644},{'L14': 78644},{'L14': 1},{'L14': 3072.0},{'L14': 1024.0},{'L14': nan},{'L14': nan},{'L14': 25165824},{'L14': True},1.0,0.5,0.5,25165824.0,True,1024.0,320.0,1.0
C1,T38,Mem Tile,1,1024,320,4,1000000000.0,{'L14': 'MatMulInteger'},{'L14': 'O'},{'L14': 3277},{'L14': 3277},{'L14': 1},{'L14': 1},{'L14': 128},{'L14': 1024.0},{'L14': nan},{'L14': 1048576},{'L14': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T40,Mem Tile,1,1024,320,4,1000000000.0,{'L15': 'SkipLayerNorm'},{'L15': 'O'},{'L15': 3277},{'L15': 3277},{'L15': 1},{'L15': 1},{'L15': 128},{'L15': 1024.0},{'L15': nan},{'L15': 1048576},{'L15': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T41,Mem Tile,1,1024,320,4,1000000000.0,{'L16': 'MatMulInteger'},{'L16': 'W'},{'L16': 52429},{'L16': 52429},{'L16': 1},{'L16': 1024.0},{'L16': 2048.0},{'L16': nan},{'L16': nan},{'L16': 16777216},{'L16': True},1.0,0.5,0.5,16777216.0,True,1024.0,320.0,1.0
C1,T43,Mem Tile,1,1024,320,4,1000000000.0,{'L16': 'MatMulInteger'},{'L16': 'O'},{'L16': 6554},{'L16': 6554},{'L16': 1},{'L16': 1},{'L16': 128},{'L16': 2048.0},{'L16': nan},{'L16': 2097152},{'L16': True},1.0,0.5,0.5,2097152.0,True,1024.0,320.0,1.0
C1,T44,Mem Tile,1,1024,320,4,1000000000.0,{'L17': 'MatMulInteger'},{'L17': 'W'},{'L17': 26215},{'L17': 26215},{'L17': 1},{'L17': 1024.0},{'L17': 1024.0},{'L17': nan},{'L17': nan},{'L17': 8388608},{'L17': True},1.0,0.5,0.5,8388608.0,True,1024.0,320.0,1.0
C1,T46,Mem Tile,1,1024,320,4,1000000000.0,{'L17': 'MatMulInteger'},{'L17': 'O'},{'L17': 3277},{'L17': 3277},{'L17': 1},{'L17': 1},{'L17': 128},{'L17': 1024.0},{'L17': nan},{'L17': 1048576},{'L17': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T47,Mem Tile,1,1024,320,4,1000000000.0,{'L18': 'MatMulInteger'},{'L18': 'W'},{'L18': 26215},{'L18': 26215},{'L18': 1},{'L18': 1024.0},{'L18': 1024.0},{'L18': nan},{'L18': nan},{'L18': 8388608},{'L18': True},1.0,0.5,0.5,8388608.0,True,1024.0,320.0,1.0
C1,T49,Mem Tile,1,1024,320,4,1000000000.0,{'L18': 'MatMulInteger'},{'L18': 'O'},{'L18': 3277},{'L18': 3277},{'L18': 1},{'L18': 1},{'L18': 128},{'L18': 1024.0},{'L18': nan},{'L18': 1048576},{'L18': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T51,Mem Tile,1,1024,320,4,1000000000.0,{'L19': 'SimplifiedLayerNormalization'},{'L19': 'O'},{'L19': 6554},{'L19': 6554},{'L19': 1},{'L19': 1},{'L19': 2048},{'L19': 128.0},{'L19': nan},{'L19': 2097152},{'L19': True},1.0,0.5,0.5,2097152.0,True,1024.0,320.0,1.0
C1,T53,Mem Tile,1,1024,320,4,1000000000.0,{'L20': 'SimplifiedLayerNormalization'},{'L20': 'O'},{'L20': 3277},{'L20': 3277},{'L20': 1},{'L20': 1},{'L20': 1024},{'L20': 128.0},{'L20': nan},{'L20': 1048576},{'L20': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T54,Mem Tile,1,1024,320,4,1000000000.0,{'L21': 'GroupQueryAttention'},{'L21': 'W'},{'L21': 3277},{'L21': 3277},{'L21': 1},{'L21': 1.0},{'L21': 128.0},{'L21': 1024.0},{'L21': nan},{'L21': 1048576},{'L21': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T56,Mem Tile,1,1024,320,4,1000000000.0,{'L21': 'GroupQueryAttention'},{'L21': 'O'},{'L21': 6554},{'L21': 6554},{'L21': 1},{'L21': 1},{'L21': 128},{'L21': 2048.0},{'L21': nan},{'L21': 2097152},{'L21': True},1.0,0.5,0.5,2097152.0,True,1024.0,320.0,1.0
C1,T57,Mem Tile,1,1024,320,4,1000000000.0,{'L22': 'MatMulInteger'},{'L22': 'W'},{'L22': 52429},{'L22': 52429},{'L22': 1},{'L22': 2048.0},{'L22': 1024.0},{'L22': nan},{'L22': nan},{'L22': 16777216},{'L22': True},1.0,0.5,0.5,16777216.0,True,1024.0,320.0,1.0
C1,T59,Mem Tile,1,1024,320,4,1000000000.0,{'L22': 'MatMulInteger'},{'L22': 'O'},{'L22': 3277},{'L22': 3277},{'L22': 1},{'L22': 1},{'L22': 128},{'L22': 1024.0},{'L22': nan},{'L22': 1048576},{'L22': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T61,Mem Tile,1,1024,320,4,1000000000.0,{'L23': 'SkipLayerNorm'},{'L23': 'O'},{'L23': 3277},{'L23': 3277},{'L23': 1},{'L23': 1},{'L23': 128},{'L23': 1024.0},{'L23': nan},{'L23': 1048576},{'L23': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T62,Mem Tile,1,1024,320,4,1000000000.0,{'L24': 'MatMulInteger'},{'L24': 'W'},{'L24': 78644},{'L24': 78644},{'L24': 1},{'L24': 1024.0},{'L24': 3072.0},{'L24': nan},{'L24': nan},{'L24': 25165824},{'L24': True},1.0,0.5,0.5,25165824.0,True,1024.0,320.0,1.0
