Chiplet ID,Tile ID,HW Type,SA_size_x,SA_size_y,n_SA,prec,Clock Frequency (Hz),wrap_Auto,wrap_n_SA,wrap_SA_size_y,wrap_SA_size_x,wrap_Temporal,layer_macs,num_adders_tile,num_adder_stages
C1,T8,SA,16,16,2,8,1000000000.0,{'L3': 2048.0},{'L3': 2},{'L3': 128},{'L3': 512.0},{'L3': 1},{'L3': 268435456.0},256.0,1.0
C1,T11,SA,16,16,2,8,1000000000.0,{'L4': 1024.0},{'L4': 2},{'L4': 128},{'L4': 512.0},{'L4': 1},{'L4': 134217728.0},256.0,1.0
C1,T14,SA,16,16,2,8,1000000000.0,{'L5': 1024.0},{'L5': 2},{'L5': 128},{'L5': 512.0},{'L5': 1},{'L5': 134217728.0},256.0,1.0
C1,T21,SA,16,16,2,8,1000000000.0,{'L8': 1024.0},{'L8': 2},{'L8': 128},{'L8': 1024.0},{'L8': 1},{'L8': 268435456.0},256.0,1.0
C1,T24,SA,16,16,2,8,1000000000.0,{'L9': 1024.0},{'L9': 2},{'L9': 128},{'L9': 1024.0},{'L9': 1},{'L9': 268435456.0},256.0,1.0
C1,T29,SA,16,16,2,8,1000000000.0,{'L11': 3072.0},{'L11': 2},{'L11': 128},{'L11': 512.0},{'L11': 1},{'L11': 402653184.0},256.0,1.0
C1,T32,SA,16,16,2,8,1000000000.0,{'L12': 3072.0},{'L12': 2},{'L12': 128},{'L12': 512.0},{'L12': 1},{'L12': 402653184.0},256.0,1.0
C1,T37,SA,16,16,2,8,1000000000.0,{'L14': 1024.0},{'L14': 2},{'L14': 128},{'L14': 1536.0},{'L14': 1},{'L14': 402653184.0},256.0,1.0
C1,T42,SA,16,16,2,8,1000000000.0,{'L16': 2048.0},{'L16': 2},{'L16': 128},{'L16': 512.0},{'L16': 1},{'L16': 268435456.0},256.0,1.0
C1,T45,SA,16,16,2,8,1000000000.0,{'L17': 1024.0},{'L17': 2},{'L17': 128},{'L17': 512.0},{'L17': 1},{'L17': 134217728.0},256.0,1.0
