+--------+--------+-----------------+-----------+-----------+--------+----------+--------+----------------+----------------+-----------------------------------------------------------------+--------------------------------------------+--------------------------------------------------------------------+
| Source | Target | connection_type | bus_width |     Q     | hops2d | hops2_5d | hops3d | nop_location_s | nop_location_d |                         router_list_2d                          |               router_list_3d               |                          nop_router_list                           |
+--------+--------+-----------------+-----------+-----------+--------+----------+--------+----------------+----------------+-----------------------------------------------------------------+--------------------------------------------+--------------------------------------------------------------------+
| C1_T1  | C2_T1  |      2_5d       |    80     | 4841472.0 |   2    |    1     |   0    |      East      |      West      |  {'S1': [(0, 0, 0), (1, 0, 0)], 'S2': [(-1, 0, 0), (0, 0, 0)]}  |                     {}                     |                       [(0, 0, 0), (1, 0, 0)]                       |
| C1_T1  | C30_T1 |      3_5d       |    80     | 2420736.0 |   6    |    5     |   1    |     North      |     South      | {'S1': [(0, 0, 0), (0, 1, 0)], 'S14': [(0, -1, 1), (0, 0, 1)]}  |      {'S1': [], 'S14': [(0, -1, 0)]}       | [(0, 0, 0), (1, 0, 0), (2, 0, 0), (2, 1, 0), (2, 2, 0), (2, 3, 0)] |
| C2_T1  | C4_T1  |      2_5d       |    80     | 1210368.0 |   2    |    1     |   0    |      East      |      West      |  {'S2': [(0, 0, 0), (1, 0, 0)], 'S3': [(-1, 0, 0), (0, 0, 0)]}  |                     {}                     |                       [(1, 0, 0), (2, 0, 0)]                       |
| C2_T1  | C7_T1  |      2_5d       |    80     | 1210368.0 |   3    |    2     |   0    |      East      |      West      |  {'S2': [(0, 0, 0), (1, 0, 0)], 'S4': [(-1, 0, 0), (0, 0, 0)]}  |                     {}                     |                 [(1, 0, 0), (2, 0, 0), (3, 0, 0)]                  |
| C2_T1  | C10_T1 |      2_5d       |    80     | 1210368.0 |   4    |    3     |   0    |     North      |     South      |  {'S2': [(0, 0, 0), (0, 1, 0)], 'S5': [(0, -1, 0), (0, 0, 0)]}  |                     {}                     |            [(1, 0, 0), (2, 0, 0), (3, 0, 0), (3, 1, 0)]            |
| C3_T1  | C4_T1  |       3d        |    500    | 4718592.0 |   0    |    0     |   2    |       NA       |       NA       |                               {}                                | {'S3': [(0, 0, 0), (0, 0, 1), (0, 0, 2)]}  |                                 {}                                 |
| C4_T1  | C5_T1  |       3d        |    500    | 1210368.0 |   0    |    0     |   1    |       NA       |       NA       |                               {}                                |       {'S3': [(0, 0, 0), (0, 0, 1)]}       |                                 {}                                 |
| C5_T1  | C12_T1 |      3_5d       |    80     | 1210368.0 |   2    |    1     |   1    |     North      |     South      |  {'S3': [(0, 0, 1), (0, 1, 1)], 'S6': [(0, -1, 0), (0, 0, 0)]}  |       {'S3': [(0, 1, 0)], 'S6': []}        |                       [(2, 0, 0), (2, 1, 0)]                       |
| C6_T1  | C7_T1  |       3d        |    500    | 4718592.0 |   0    |    0     |   2    |       NA       |       NA       |                               {}                                | {'S4': [(0, 0, 0), (0, 0, 1), (0, 0, 2)]}  |                                 {}                                 |
| C7_T1  | C8_T1  |       3d        |    500    | 1210368.0 |   0    |    0     |   1    |       NA       |       NA       |                               {}                                |       {'S4': [(0, 0, 0), (0, 0, 1)]}       |                                 {}                                 |
| C8_T1  | C14_T1 |      3_5d       |    80     | 1210368.0 |   4    |    3     |   1    |     North      |     South      |  {'S4': [(0, 0, 1), (0, 1, 1)], 'S7': [(0, -1, 0), (0, 0, 0)]}  |       {'S4': [(0, 1, 0)], 'S7': []}        |            [(1, 0, 0), (2, 0, 0), (3, 0, 0), (1, 1, 0)]            |
| C9_T1  | C10_T1 |       3d        |    500    | 4718592.0 |   0    |    0     |   2    |       NA       |       NA       |                               {}                                | {'S5': [(0, 0, 0), (0, 0, 1), (0, 0, 2)]}  |                                 {}                                 |
| C10_T1 | C11_T1 |       3d        |    500    | 1210368.0 |   0    |    0     |   1    |       NA       |       NA       |                               {}                                |       {'S5': [(0, 0, 0), (0, 0, 1)]}       |                                 {}                                 |
