Layer_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,out1_dim1,out1_dim2,out1_dim3,out1_dim4,Node_Name
%0,Constant,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
%1,Constant,NA,NA,NA,NA,NA,NA,NA,NA,1,1280,1,NA,NA
%2,Constant,NA,NA,NA,NA,NA,NA,NA,NA,1280,320,NA,NA,NA
%3,Constant,NA,NA,NA,NA,NA,NA,NA,NA,1,320,1,NA,NA
%4,Constant,NA,NA,NA,NA,NA,NA,NA,NA,320,960,NA,NA,NA
%5,Constant,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
%6,Constant,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
%7,Constant,NA,NA,NA,NA,NA,NA,NA,NA,1,960,1,NA,NA
%8,Constant,NA,NA,NA,NA,NA,NA,NA,NA,960,160,NA,NA,NA
%9,Constant,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
%10,Constant,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
%11,Constant,NA,NA,NA,NA,NA,NA,NA,NA,1,160,1,NA,NA
%12,Constant,NA,NA,NA,NA,NA,NA,NA,NA,160,960,NA,NA,NA
%13,Constant,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
%14,Constant,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
%15,Constant,NA,NA,NA,NA,NA,NA,NA,NA,1,960,1,NA,NA
%16,Constant,NA,NA,NA,NA,NA,NA,NA,NA,960,160,NA,NA,NA
%17,Constant,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
%18,Constant,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
%19,Constant,NA,NA,NA,NA,NA,NA,NA,NA,1,160,1,NA,NA
%20,Constant,NA,NA,NA,NA,NA,NA,NA,NA,160,960,NA,NA,NA
%21,Constant,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
%22,Constant,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
%23,Constant,NA,NA,NA,NA,NA,NA,NA,NA,1,960,1,NA,NA
%24,Constant,NA,NA,NA,NA,NA,NA,NA,NA,960,160,NA,NA,NA
%25,Constant,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
%26,Constant,NA,NA,NA,NA,NA,NA,NA,NA,1,160,1,NA,NA
%27,Constant,NA,NA,NA,NA,NA,NA,NA,NA,160,576,NA,NA,NA
%28,Constant,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
%29,Constant,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
%30,Constant,NA,NA,NA,NA,NA,NA,NA,NA,1,576,1,NA,NA
%31,Constant,NA,NA,NA,NA,NA,NA,NA,NA,576,96,NA,NA,NA
