freq_core (GHz),freq_noc (GHz),SA_size,N_tile,N_pe,N_tile(real),N_tier(real),N_stack(real),W2d,W3d,Computing_latency (ns),Computing_energy (pJ),compute_area (um2),chip area (mm2),chip_Architecture,2d NoC latency (ns),3d NoC latency (ns),2.5d NoC latency (ns),network_latency (ns),2d NoC energy (pJ),3d NoC energy (pJ),2.5d NoC energy (pJ),network_energy (pJ),rcc (compute latency/communciation latency),Throughput(TFLOPS/s),2D_3D_NoC_power (W),2_5D_power (W),2d_3d_router_area (mm2),placement_method,percent_router,peak_temperature (C),thermal simulation time (s),networking simulation time (s),computing simulation time (s),total simulation time (s)
1,1,128,64,36,64,2,2,32,242,123558.00000000023,43756175549.941536,105102976018.19823,53147.509881905135,M3_5D,8064676.375,71947.7520661157,27377.391726,8164001.518792116,372218782.80170214,1454439.6888920178,1877706.322488576,375550928.8130827,0.015134490080090154,12.111931459242156,0.06636943268803211,0.06858601948940736,2.84132384768,5,1,NaN,1.6927719116210938e-05,1.3061261177062988,0.01869821548461914,1.3248412609100342
1,1,128,144,36,100,2,1,32,242,158646.00000000038,7917722714.768791,118060788416.14522,59614.53239230788,M3D,4616836.75,114910.80991735538,0,4731747.559917355,227429119.56060016,2256846.5732871033,0,229685966.13388726,0.03352799319724725,1.492978219962196,0.06890079526489637,0,3.1639719936,5,1,NaN,1.621246337890625e-05,1.4537057876586914,0.026967287063598633,1.480689287185669
1,1,128,256,36,100,2,1,32,1458,158646.00000000038,7917722714.768791,209885846073.14706,108471.03782530257,M3D,6364884.5,197496.35665294924,0,6562380.856652949,507558158.62003535,145232282.71580637,0,652790441.3358417,0.024175067474050196,1.0863296974885175,0.8151103944237371,0,58.61803853414402,5,1,NaN,8.344650268554688e-06,2.3868799209594727,0.01904773712158203,2.4059360027313232
1,1,128,256,36,100,2,1,32,648,158646.00000000038,7917722714.768791,209885846073.14706,106822.11153651003,M3D,6364884.5,197966.80246913582,0,6562851.302469136,507558158.62003535,33385642.92661516,0,540943801.5466505,0.024173334529202745,1.0862536639444744,0.24838613222752817,0,16.964119117824,5,1,NaN,9.5367431640625e-06,2.3830506801605225,0.018360614776611328,2.401420831680298
1,1,128,256,36,100,2,1,32,338,158646.00000000038,7917722714.768791,209885846073.14706,106183.32881079701,M3D,6364884.5,198743.45562130178,0,6563627.955621302,507558158.62003535,11269479.039125552,0,518827637.6591609,0.024170474175662385,1.0861281643980822,0.13644714711283007,0,7.575676207104003,5,1,NaN,9.059906005859375e-06,2.3860650062561035,0.018213748931884766,2.404287815093994
1,1,128,256,36,100,2,1,32,242,158646.00000000038,7917722714.768791,209885846073.14706,105981.7060299008,M3D,6364884.5,199387.47107438016,0,6564271.97107438,507558158.62003535,6742883.957017124,0,514301042.5770525,0.024168102829845828,1.0860241197964813,0.11356149094111712,0,5.40393480192,5,1,NaN,1.4543533325195312e-05,2.3715908527374268,0.02080225944519043,2.3924076557159424
1,1,128,256,36,100,2,1,32,50,158646.00000000038,7917722714.768791,209885846073.14706,105561.22868861834,M3D,6364884.5,208094.56,0,6572979.06,507558158.62003535,979494.4634619138,0,508537653.0834973,0.02413608784568384,1.0846193908488422,0.08445046680093275,0,2.1041290444800005,5,1,NaN,1.4543533325195312e-05,2.381298065185547,0.01985764503479004,2.401170253753662
1,1,128,256,36,100,2,1,32,8,158646.00000000038,7917722714.768791,209885846073.14706,105461.83950974146,M3D,6364884.5,265711.0,0,6630595.5,507558158.62003535,280144.12434575125,0,507838302.7443811,0.02392635774569575,1.0754148415548335,0.08079781754523828,0,1.5677938237440003,5,1,NaN,1.4781951904296875e-05,2.3811278343200684,0.018433570861816406,2.399576187133789
1,1,128,256,36,100,2,1,6,50,158646.00000000038,7917722714.768791,209885846073.14706,105300.97165581158,M3D,21011115.666666668,208094.56,0,21219210.226666667,366200623.1114963,979494.4634619138,0,367180117.57495826,0.007476527085849139,0.34153336024836967,0.022135867626540413,0,0.6637628037120002,5,1,NaN,1.9788742065429688e-05,2.389049530029297,0.017825841903686523,2.406895160675049
1,1,128,256,36,100,2,1,11,98,158646.00000000038,7917722714.768791,209885846073.14706,105476.36204480095,M3D,12817419.909090908,202719.26530612246,0,13020139.17439703,393262227.65960765,2010659.322234817,0,395272886.98184246,0.012184662381486975,0.5540154859026339,0.04060029789778646,0,1.4513362775040002,5,1,NaN,1.049041748046875e-05,2.3897833824157715,0.019873857498168945,2.409667730331421
1,1,128,256,36,100,2,1,16,128,158646.00000000038,7917722714.768791,209885846073.14706,105593.39584440207,M3D,9744784.0,201406.9375,0,9946190.9375,420204295.07549745,2793193.317500979,0,422997488.39299846,0.01595042775640465,0.7225501130952812,0.05698935169830455,0,2.1537049559040007,5,1,NaN,9.5367431640625e-06,2.3683526515960693,0.018465518951416016,2.3868277072906494
1,1,128,256,36,100,2,1,21,162,158646.00000000038,7917722714.768791,209885846073.14706,105714.44389308436,M3D,8135308.047619048,200507.2098765432,0,8335815.2574955905,447219199.43701077,3809307.77353041,0,451028507.2105412,0.019031851726481752,0.8595307990318172,0.07397097828414792,0,3.0146615792640006,5,1,NaN,1.5020370483398438e-05,2.3727307319641113,0.018186569213867188,2.390932321548462
1,1,128,256,36,100,2,1,26,162,158646.00000000038,7917722714.768791,209885846073.14706,105758.3548131665,M3D,7144861.307692308,200507.2098765432,0,7345368.517568851,474449117.8469166,3809307.77353041,0,478258425.62044704,0.021598099485484846,0.972979337247532,0.08540260268463697,0,3.389801800704001,5,1,NaN,1.52587890625e-05,2.3711953163146973,0.01755666732788086,2.3887672424316406
1,1,128,256,36,100,2,1,31,200,158646.00000000038,7917722714.768791,209885846073.14706,105883.75866146613,M3D,6473913.516129032,199863.64,0,6673777.156129031,502001400.4276868,5107734.890365969,0,507109135.31805277,0.023771545901005074,1.0686181030006032,0.10309828373671354,0,4.477596083712,5,1,NaN,1.52587890625e-05,2.3752949237823486,0.01882195472717285,2.394132137298584
