freq_core (GHz),freq_noc (GHz),SA_size,N_tile,N_pe,N_tile(real),N_tier(real),N_stack(real),W2d,W3d,Computing_latency (ns),Computing_energy (pJ),compute_area (um2),chip area (mm2),chip_Architecture,2d NoC latency (ns),3d NoC latency (ns),2.5d NoC latency (ns),network_latency (ns),2d NoC energy (pJ),3d NoC energy (pJ),2.5d NoC energy (pJ),network_energy (pJ),rcc (compute latency/communciation latency),Throughput(TFLOPS/s),2D_3D_NoC_power (W),2_5D_power (W),2d_3d_router_area (mm2),placement_method,percent_router,peak_temperature (C),thermal simulation time (s),networking simulation time (s),computing simulation time (s),total simulation time (s)
1,1,128,64,36,64,2,2,32,242,46170.00000000005,17315901409.947437,105062582342.79495,53127.19961831825,M3_5D,6231349.8125,67351.11570247934,24107.314380950003,6322808.242583429,286451738.4195131,1292111.2919237558,1653424.7339691073,289397274.44540596,0.007302135100199639,6.087782311574147,0.06515415745746966,0.06858601948940736,2.84132384768,5,1,NaN,2.0265579223632812e-05,1.5178604125976562,0.030585050582885742,1.5484657287597656
1,1,128,144,36,144,2,2,32,242,146385.00000000023,15272350536.404444,236377699375.0519,119470.70455427778,M3_5D,27082161.25,481332.95867768594,72702.18469460002,27636196.393372286,2814410939.8633056,18925270.244403113,4986353.45638633,2838322563.564095,0.005296857712123738,0.39108506694025197,0.14323966810581976,0.06858601948940735,6.039943987200001,5,1,NaN,2.0742416381835938e-05,3.370745897293091,0.020358800888061523,3.391125440597534
1,1,128,256,36,256,2,1,32,1458,146385.00000000023,15272350536.404444,210113510555.6017,108586.76721849316,M3D,32946773.125,835670.378600823,0,33782443.50360082,2893507727.7136865,614765069.1209809,0,3508272796.834667,0.004333167906708621,0.3202395479952063,0.8234786785176607,0,58.61803853414402,5,1,NaN,1.9550323486328125e-05,3.136368989944458,0.01721477508544922,3.1536033153533936
1,1,128,256,36,256,2,1,32,648,146385.00000000023,15272350536.404444,210113510555.6017,106936.95816428756,M3D,32946773.125,837058.3518518518,0,33783831.47685185,2893507727.7136865,141161163.46100435,0,3034668891.1746907,0.004332989883053997,0.32022644805147793,0.2564632798500291,0,16.964119117824,5,1,NaN,2.002716064453125e-05,3.0413269996643066,0.018961191177368164,3.0603082180023193
1,1,128,256,36,256,2,1,32,338,146385.00000000023,15272350536.404444,210113510555.6017,106297.83163190969,M3D,32946773.125,839349.7396449704,0,33786122.86464497,2893507727.7136865,47500063.94892806,0,2941007791.6626143,0.004332696018020548,0.32020482386216,0.1444152101001786,0,7.575676207104003,5,1,NaN,1.7404556274414062e-05,3.0863938331604004,0.020984649658203125,3.107395887374878
1,1,128,256,36,256,2,1,32,242,146385.00000000023,15272350536.404444,210113510555.6017,106096.10011867437,M3D,32946773.125,841249.8016528926,0,33788022.92665289,2893507727.7136865,28327918.058311578,0,2921835645.771998,0.004332452369816757,0.32018689489101393,0.12149731672414994,0,5.40393480192,5,1,NaN,1.9788742065429688e-05,3.019495725631714,0.0175325870513916,3.037048101425171
1,1,128,256,36,256,2,1,32,50,146385.00000000023,15272350536.404444,210113510555.6017,105675.39568659342,M3D,32946773.125,866938.64,0,33813711.765,2893507727.7136865,3921351.0359058017,0,2897429078.7495923,0.004329160933805583,0.31994469212461324,0.09234692269374908,0,2.1041290444800005,5,1,NaN,1.9073486328125e-05,3.0693442821502686,0.017608642578125,3.0869719982147217
1,1,128,256,36,256,2,1,32,8,146385.00000000023,15272350536.404444,210113510555.6017,105575.95276369803,M3D,32946773.125,1036926.5,0,33983699.625,2893507727.7136865,995534.6559965273,0,2894503262.369683,0.004307506293173348,0.31835117971085314,0.08878378851929664,0,1.5677938237440003,5,1,NaN,1.8358230590820312e-05,3.1401309967041016,0.020395517349243164,3.1605448722839355
1,1,128,256,36,256,2,1,6,50,146385.00000000023,15272350536.404444,210113510555.6017,105414.9978678814,M3D,130490510.0,866938.64,0,131357448.64,2345542231.0691752,3921351.0359058017,0,2349463582.105081,0.0011144019735126322,0.08262384755827412,0.022498027175886347,0,0.6637628037120002,5,1,NaN,1.8358230590820312e-05,3.120178461074829,0.020955801010131836,3.1411526203155518
1,1,128,256,36,256,2,1,11,98,146385.00000000023,15272350536.404444,210113510555.6017,105590.48315329837,M3D,75920587.27272728,851079.7142857143,0,76771666.987013,2450413607.8613725,8284611.131685779,0,2458698218.993058,0.0019067581276405435,0.14125881276653404,0.04201024605260346,0,1.4513362775040002,5,1,NaN,1.52587890625e-05,3.0541794300079346,0.01870274543762207,3.072897434234619
1,1,128,256,36,256,2,1,16,128,146385.00000000023,15272350536.404444,210113510555.6017,105707.5802311267,M3D,55456866.25,847207.90625,0,56304074.15625,2555195878.639497,11598565.357952865,0,2566794443.99745,0.00259990066782318,0.19247589596969691,0.0597657157200614,0,2.1537049559040007,5,1,NaN,1.6450881958007812e-05,3.1161134243011475,0.01993417739868164,3.136064052581787
1,1,128,256,36,256,2,1,21,162,146385.00000000023,15272350536.404444,210113510555.6017,105828.69369159294,M3D,44737774.28571428,844553.4074074074,0,45582327.693121694,2660225216.670594,15902326.283617456,0,2676127542.9542117,0.003211441964647398,0.23760460472429432,0.0782918913044474,0,3.0146615792640006,5,1,NaN,1.621246337890625e-05,3.029489040374756,0.026793241500854492,3.0562984943389893
1,1,128,256,36,256,2,1,26,162,146385.00000000023,15272350536.404444,210113510555.6017,105872.62833094246,M3D,38141410.0,844553.4074074074,0,38985963.40740741,2765787499.897895,15902326.283617456,0,2781689826.1815124,0.003754812943065216,0.27765654621288416,0.09134330649787273,0,3.389801800704001,5,1,NaN,1.9073486328125e-05,3.0891056060791016,0.01942753791809082,3.1085522174835205
1,1,128,256,36,256,2,1,31,200,146385.00000000023,15272350536.404444,210113510555.6017,105998.09989127085,M3D,33672905.16129032,842654.66,0,34515559.821290314,2872127377.753151,21402028.863864034,0,2893529406.617015,0.004241130688823573,0.3134663320254957,0.11069324806591473,0,4.477596083712,5,1,NaN,1.9073486328125e-05,3.1546926498413086,0.019208669662475586,3.1739203929901123
