Chiplet ID,Stack ID,Tier ID,NoP Position
C1,S1,TR0,"0,0,0"
C2,S2,TR0,"1,0,0"
C3,S3,TR0,"2,0,2"
C4,S3,TR0,"2,0,0"
C5,S3,TR0,"2,0,1"
C6,S4,TR0,"3,0,2"
C7,S4,TR0,"3,0,0"
C8,S4,TR0,"3,0,1"
C9,S5,TR0,"3,1,2"
C10,S5,TR0,"3,1,0"
C11,S5,TR0,"3,1,1"
C12,S6,TR0,"2,1,0"
C13,S6,TR0,"2,1,1"
C14,S7,TR0,"1,1,0"
C15,S7,TR0,"1,1,1"
C16,S8,TR0,"0,1,0"
C17,S8,TR0,"0,1,1"
C18,S9,TR0,"0,2,0"
C19,S9,TR0,"0,2,1"
C20,S10,TR0,"1,2,0"
C21,S10,TR0,"1,2,1"
C22,S11,TR0,"2,2,0"
C23,S11,TR0,"2,2,1"
C24,S12,TR0,"3,2,0"
C25,S12,TR0,"3,2,1"
C26,S13,TR0,"3,3,0"
C27,S13,TR0,"3,3,1"
C28,S14,TR0,"2,3,2"
C29,S14,TR0,"2,3,0"
C30,S14,TR0,"2,3,1"
