+--------+--------+-----------------+-----------+--------------+--------+----------+--------+----------------+----------------+-------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------------------------+
| Source | Target | connection_type | bus_width |      Q       | hops2d | hops2_5d | hops3d | nop_location_s | nop_location_d |                                                                    router_list_2d                                                                     | router_list_3d |          nop_router_list          |
+--------+--------+-----------------+-----------+--------------+--------+----------+--------+----------------+----------------+-------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-----------------------------------+
| C1_T1  | C2_T1  |      2_5d       |    80     |  4841472.0   |   4    |    1     |   0    |      East      |      West      |                                  {'S1': [(0, 0, 0), (1, 0, 0)], 'S2': [(-1, 2, 0), (0, 2, 0), (0, 0, 0), (0, 1, 0)]}                                  |       {}       |      [(0, 0, 0), (1, 0, 0)]       |
| C1_T1  | C2_T2  |      2_5d       |    80     | 3628597248.0 |   3    |    1     |   0    |      East      |      West      |                                       {'S1': [(0, 0, 0), (1, 0, 0)], 'S2': [(-1, 2, 0), (0, 2, 0), (0, 1, 0)]}                                        |       {}       |      [(0, 0, 0), (1, 0, 0)]       |
| C1_T1  | C2_T5  |      2_5d       |    80     | 3628597248.0 |   4    |    1     |   0    |      East      |      West      |                                  {'S1': [(0, 0, 0), (1, 0, 0)], 'S2': [(-1, 2, 0), (0, 2, 0), (0, 3, 0), (0, 4, 0)]}                                  |       {}       |      [(0, 0, 0), (1, 0, 0)]       |
| C1_T1  | C2_T8  |      2_5d       |    80     | 3628597248.0 |   3    |    1     |   0    |      East      |      West      |                                       {'S1': [(0, 0, 0), (1, 0, 0)], 'S2': [(-1, 2, 0), (0, 2, 0), (1, 2, 0)]}                                        |       {}       |      [(0, 0, 0), (1, 0, 0)]       |
| C1_T1  | C2_T12 |      2_5d       |    80     |  7451648.0   |   5    |    1     |   0    |      East      |      West      |                            {'S1': [(0, 0, 0), (1, 0, 0)], 'S2': [(-1, 2, 0), (0, 2, 0), (1, 2, 0), (2, 2, 0), (2, 1, 0)]}                             |       {}       |      [(0, 0, 0), (1, 0, 0)]       |
| C1_T1  | C3_T12 |      2_5d       |    80     |  7451648.0   |   7    |    2     |   0    |     North      |     South      |                      {'S1': [(0, 0, 0), (0, 1, 0)], 'S3': [(1, -1, 0), (2, -1, 0), (2, 0, 0), (2, 1, 0), (2, 2, 0), (2, 3, 0)]}                       |       {}       | [(0, 0, 0), (1, 0, 0), (1, 1, 0)] |
| C1_T1  | C2_T15 |      2_5d       |    80     | 3628597248.0 |   6    |    1     |   0    |      East      |      West      |                       {'S1': [(0, 0, 0), (1, 0, 0)], 'S2': [(-1, 2, 0), (0, 2, 0), (1, 2, 0), (2, 2, 0), (2, 3, 0), (2, 4, 0)]}                       |       {}       |      [(0, 0, 0), (1, 0, 0)]       |
| C1_T1  | C2_T17 |      2_5d       |    80     |  2420736.0   |   6    |    1     |   0    |      East      |      West      |                       {'S1': [(0, 0, 0), (1, 0, 0)], 'S2': [(-1, 2, 0), (0, 2, 0), (1, 2, 0), (2, 2, 0), (3, 2, 0), (3, 3, 0)]}                       |       {}       |      [(0, 0, 0), (1, 0, 0)]       |
| C2_T1  | C2_T3  |       2d        |    80     |  1210368.0   |   2    |    0     |   0    |       NA       |       NA       |                                                       {'S2': [(0, 0, 0), (0, 1, 0), (0, 2, 0)]}                                                       |       {}       |                {}                 |
| C2_T1  | C2_T6  |       2d        |    80     |  1210368.0   |   5    |    0     |   0    |       NA       |       NA       |                                      {'S2': [(0, 0, 0), (1, 0, 0), (1, 1, 0), (1, 2, 0), (1, 3, 0), (1, 4, 0)]}                                       |       {}       |                {}                 |
| C2_T1  | C2_T9  |       2d        |    80     |  1210368.0   |   2    |    0     |   0    |       NA       |       NA       |                                                       {'S2': [(0, 0, 0), (1, 0, 0), (1, 1, 0)]}                                                       |       {}       |                {}                 |
| C2_T2  | C2_T3  |       2d        |    80     |  4718592.0   |   1    |    0     |   0    |       NA       |       NA       |                                                            {'S2': [(0, 1, 0), (0, 2, 0)]}                                                             |       {}       |                {}                 |
| C2_T3  | C2_T4  |       2d        |    80     |  1210368.0   |   1    |    0     |   0    |       NA       |       NA       |                                                            {'S2': [(0, 2, 0), (0, 3, 0)]}                                                             |       {}       |                {}                 |
| C2_T4  | C3_T1  |      2_5d       |    80     |  1210368.0   |   6    |    1     |   0    |     North      |     South      |                      {'S2': [(0, 3, 0), (1, 3, 0), (2, 3, 0), (2, 4, 0), (2, 5, 0)], 'S3': [(0, -1, 0), (1, -1, 0), (0, 0, 0)]}                       |       {}       |      [(1, 0, 0), (1, 1, 0)]       |
| C2_T5  | C2_T6  |       2d        |    80     |  4718592.0   |   1    |    0     |   0    |       NA       |       NA       |                                                            {'S2': [(0, 4, 0), (1, 4, 0)]}                                                             |       {}       |                {}                 |
| C2_T6  | C2_T7  |       2d        |    80     |  1210368.0   |   1    |    0     |   0    |       NA       |       NA       |                                                            {'S2': [(1, 4, 0), (1, 3, 0)]}                                                             |       {}       |                {}                 |
| C2_T7  | C3_T3  |      2_5d       |    80     |  1210368.0   |   7    |    1     |   0    |     North      |     South      |                 {'S2': [(1, 3, 0), (2, 3, 0), (2, 4, 0), (2, 5, 0)], 'S3': [(0, -1, 0), (1, -1, 0), (0, 0, 0), (0, 1, 0), (0, 2, 0)]}                 |       {}       |      [(1, 0, 0), (1, 1, 0)]       |
| C2_T8  | C2_T9  |       2d        |    80     |  4718592.0   |   1    |    0     |   0    |       NA       |       NA       |                                                            {'S2': [(1, 2, 0), (1, 1, 0)]}                                                             |       {}       |                {}                 |
| C2_T9  | C2_T10 |       2d        |    80     |  1210368.0   |   1    |    0     |   0    |       NA       |       NA       |                                                            {'S2': [(1, 1, 0), (1, 0, 0)]}                                                             |       {}       |                {}                 |
| C2_T10 | C3_T5  |      2_5d       |    80     |  1210368.0   |   10   |    1     |   0    |     North      |     South      | {'S2': [(1, 0, 0), (2, 0, 0), (2, 1, 0), (2, 2, 0), (2, 3, 0), (2, 4, 0), (2, 5, 0)], 'S3': [(1, -1, 0), (1, 0, 0), (1, 1, 0), (1, 2, 0), (1, 3, 0)]} |       {}       |      [(1, 0, 0), (1, 1, 0)]       |
| C3_T1  | C3_T2  |       2d        |    80     |  1210368.0   |   1    |    0     |   0    |       NA       |       NA       |                                                            {'S3': [(0, 0, 0), (0, 1, 0)]}                                                             |       {}       |                {}                 |
| C3_T2  | C3_T7  |       2d        |    80     |  1210368.0   |   1    |    0     |   0    |       NA       |       NA       |                                                            {'S3': [(0, 1, 0), (1, 1, 0)]}                                                             |       {}       |                {}                 |
