freq_core (GHz),freq_noc (GHz),Xbar_size,N_tile,N_pe,N_tile(real),N_tier(real),W2d,W3d,Computing_latency (ns),Computing_energy (pJ),compute_area (um2),compute_area per tier (mm2),chip_Architecture,2d NoC latency (ns),3d NoC latency (ns),2.5d NoC latency (ns),network_latency (ns),2d NoC energy (pJ),3d NoC energy (pJ),2.5d NoC energy (pJ),network_energy (pJ),rcc (??),compute_power (W),2D_3D_NoC_power (W),2_5D_power (W),2d_3d_router_area (mm2),placement_method,percent_router,peak_temperature (C),thermal simulation time (s),networking simulation time (s),computing simulation time (s),total simulation time (s)
1,1,1024,100,50,49,3,32,242,12148852.46873797,35247425383.76255,20169320596.300262,6888.140469018801,M3D,4554387.0,67467.27272727274,0,4621854.2727272725,241132455.55043152,1570103.327408016,0,242702558.87783954,2.628566750887442,2.3119450888813553,0.07621716916097261,0,3.2896086016000003,5,1,NaN,1.0251998901367188e-05,0.017358779907226562,0.010625839233398438,0.027994871139526367
1,1,1024,100,51,49,3,32,242,12148852.46873797,35247425383.76255,20572707008.226273,7024.234816353416,M3D,4554387.0,67467.27272727274,0,4621854.2727272725,241132455.55043152,1570103.327408016,0,242702558.87783954,2.628566750887442,2.3119450888813553,0.07621716916097261,0,3.2896086016000003,5,1,NaN,9.775161743164062e-06,0.017602205276489258,0.009056329727172852,0.026668310165405273
1,1,1024,100,52,49,3,32,242,12148852.46873797,35247425383.76255,20976093420.152275,7160.313238545253,M3D,4554387.0,67467.27272727274,0,4621854.2727272725,241132455.55043152,1570103.327408016,0,242702558.87783954,2.628566750887442,2.3119450888813553,0.07621716916097261,0,3.2896086016000003,5,1,NaN,9.775161743164062e-06,0.016973257064819336,0.009029865264892578,0.026012897491455078
1,1,1024,100,53,49,3,32,242,12148852.46873797,35247425383.76255,21379479832.078278,7296.376192828558,M3D,4554387.0,67467.27272727274,0,4621854.2727272725,241132455.55043152,1570103.327408016,0,242702558.87783954,2.628566750887442,2.3119450888813553,0.07621716916097261,0,3.2896086016000003,5,1,NaN,9.5367431640625e-06,0.017206430435180664,0.008656978607177734,0.02587294578552246
1,1,1024,100,54,49,3,32,242,12148852.46873797,35247425383.76255,21782866244.004288,7432.424114967782,M3D,4554387.0,67467.27272727274,0,4621854.2727272725,241132455.55043152,1570103.327408016,0,242702558.87783954,2.628566750887442,2.3119450888813553,0.07621716916097261,0,3.2896086016000003,5,1,NaN,9.775161743164062e-06,0.017193078994750977,0.008636474609375,0.02583932876586914
1,1,1024,100,55,49,3,32,242,12148852.46873797,35247425383.76255,22186252655.93029,7568.457420643015,M3D,4554387.0,67467.27272727274,0,4621854.2727272725,241132455.55043152,1570103.327408016,0,242702558.87783954,2.628566750887442,2.3119450888813553,0.07621716916097261,0,3.2896086016000003,5,1,NaN,9.775161743164062e-06,0.017339706420898438,0.00892329216003418,0.02627277374267578
1,1,1024,100,56,49,3,32,242,12148852.46873797,35247425383.76255,22589639067.856293,7704.476506722525,M3D,4554387.0,67467.27272727274,0,4621854.2727272725,241132455.55043152,1570103.327408016,0,242702558.87783954,2.628566750887442,2.3119450888813553,0.07621716916097261,0,3.2896086016000003,5,1,NaN,9.5367431640625e-06,0.017070531845092773,0.009149312973022461,0.026229381561279297
1,1,1024,100,57,49,3,32,242,12148852.46873797,35247425383.76255,22993025479.782303,7840.481752433508,M3D,4554387.0,67467.27272727274,0,4621854.2727272725,241132455.55043152,1570103.327408016,0,242702558.87783954,2.628566750887442,2.3119450888813553,0.07621716916097261,0,3.2896086016000003,5,1,NaN,9.5367431640625e-06,0.01721024513244629,0.00876617431640625,0.0259859561920166
1,1,1024,100,58,49,3,32,242,12148852.46873797,35247425383.76255,23396411891.708305,7976.473520440742,M3D,4554387.0,67467.27272727274,0,4621854.2727272725,241132455.55043152,1570103.327408016,0,242702558.87783954,2.628566750887442,2.3119450888813553,0.07621716916097261,0,3.2896086016000003,5,1,NaN,1.0251998901367188e-05,0.017177820205688477,0.00864410400390625,0.025832176208496094
1,1,1024,100,59,49,3,32,242,12148852.46873797,35247425383.76255,23799798303.63431,8112.452157841954,M3D,4554387.0,67467.27272727274,0,4621854.2727272725,241132455.55043152,1570103.327408016,0,242702558.87783954,2.628566750887442,2.3119450888813553,0.07621716916097261,0,3.2896086016000003,5,1,NaN,1.1682510375976562e-05,0.01740264892578125,0.008699417114257812,0.02611374855041504
