freq_core (GHz),freq_noc (GHz),Xbar_size,N_tile,N_pe,N_tile(real),N_tier(real),N_stack(real),W2d,W3d,Computing_latency (ns),Computing_energy (pJ),compute_area (um2),chip area (mm2),chip_Architecture,2d NoC latency (ns),3d NoC latency (ns),2.5d NoC latency (ns),network_latency (ns),2d NoC energy (pJ),3d NoC energy (pJ),2.5d NoC energy (pJ),network_energy (pJ),rcc (compute latency/communciation latency),Throughput(TFLOPS/s),2D_3D_NoC_power (W),2_5D_power (W),2d_3d_router_area (mm2),placement_method,percent_router,peak_temperature (C),thermal simulation time (s),networking simulation time (s),computing simulation time (s),total simulation time (s)
1,1,1024,100,9,100,2,2,32,242,12148852.46873797,35247425383.76255,4840636943.112063,2581.451046109715,M3_5D,6002110.1875,162339.01652892563,24107.314380950003,6188556.518409876,418518228.17148066,4351467.511323968,662466.7815147071,423532162.46431935,1.9631157011489275,2.1144182973273287,0.09653333092409554,0.027479908008259904,4.280470732800001,5,1,NaN,1.9788742065429688e-05,2.28250789642334,0.019960403442382812,2.302488088607788
1,1,1024,100,9,100,2,2,32,242,12148852.46873797,35247425383.76255,4840636943.112063,2561.3330557958284,M3D,6002110.1875,162339.01652892563,0,6164449.204028926,418518228.17148066,4351467.511323968,0,422869695.68280464,1.9707928586381718,2.117201681095986,0.09653333092409554,0,4.280470732800001,5,1,NaN,2.1696090698242188e-05,2.2390756607055664,0.01619410514831543,2.25529146194458
1,1,1024,100,10,100,2,2,32,242,12148852.46873797,35247425383.76255,5378485492.346737,2837.7771878717135,M3D,6002110.1875,162339.01652892563,0,6164449.204028926,418518228.17148066,4351467.511323968,0,422869695.68280464,1.9707928586381718,2.117201681095986,0.09653333092409554,0,4.280470732800001,5,1,NaN,1.7404556274414062e-05,2.2099039554595947,0.020230770111083984,2.230152130126953
1,1,1024,100,11,100,2,2,32,242,12148852.46873797,35247425383.76255,5916334041.581411,3113.8538235530327,M3D,6002110.1875,162339.01652892563,0,6164449.204028926,418518228.17148066,4351467.511323968,0,422869695.68280464,1.9707928586381718,2.117201681095986,0.09653333092409554,0,4.280470732800001,5,1,NaN,1.7881393432617188e-05,2.224898099899292,0.01693248748779297,2.2418484687805176
1,1,1024,100,12,100,2,2,32,242,12148852.46873797,35247425383.76255,6454182590.816085,3389.612093063148,M3D,5471054.5625,153342.31404958677,0,5624396.876549587,383367419.61571497,4112634.3122758507,0,387480053.9279908,2.1600275968062475,2.181534301057919,0.09689189958017697,0,4.280470732800001,5,1,NaN,1.71661376953125e-05,2.2092578411102295,0.01638054847717285,2.2256555557250977
1,1,1024,100,13,100,2,2,32,242,12148852.46873797,35247425383.76255,6992031140.050759,3665.0910670895696,M3D,5471054.5625,153342.31404958677,0,5624396.876549587,383367419.61571497,4112634.3122758507,0,387480053.9279908,2.1600275968062475,2.181534301057919,0.09689189958017697,0,4.280470732800001,5,1,NaN,1.8596649169921875e-05,2.2229695320129395,0.017298221588134766,2.240286350250244
1,1,1024,100,14,100,2,2,32,242,12148852.46873797,35247425383.76255,7529879689.285432,3940.322423995536,M3D,5471054.5625,153342.31404958677,0,5624396.876549587,383367419.61571497,4112634.3122758507,0,387480053.9279908,2.1600275968062475,2.181534301057919,0.09689189958017697,0,4.280470732800001,5,1,NaN,1.7642974853515625e-05,2.2586774826049805,0.018120288848876953,2.276815414428711
1,1,1024,100,15,100,2,2,32,242,12148852.46873797,35247425383.76255,8067728238.520105,4215.3322712944255,M3D,5471054.5625,153342.31404958677,0,5624396.876549587,383367419.61571497,4112634.3122758507,0,387480053.9279908,2.1600275968062475,2.181534301057919,0.09689189958017697,0,4.280470732800001,5,1,NaN,1.9788742065429688e-05,2.1740427017211914,0.040557861328125,2.214620351791382
1,1,1024,100,16,100,2,2,32,242,12148852.46873797,35247425383.76255,8605576787.754778,4490.142427741652,M3D,5646233.0625,139738.88429752065,0,5785971.946797521,396761151.8712235,3746431.833334487,0,400507583.704558,2.0997081528302677,2.1618808297010212,0.09708029426720731,0,4.280470732800001,5,1,NaN,1.7881393432617188e-05,2.1729137897491455,0.019082069396972656,2.192013740539551
1,1,1024,100,17,100,2,2,32,242,12148852.46873797,35247425383.76255,9143425336.989454,4764.771349295786,M3D,5646233.0625,139738.88429752065,0,5785971.946797521,396761151.8712235,3746431.833334487,0,400507583.704558,2.0997081528302677,2.1618808297010212,0.09708029426720731,0,4.280470732800001,5,1,NaN,1.811981201171875e-05,2.169496774673462,0.018537282943725586,2.188052177429199
1,1,1024,100,18,100,2,2,32,242,12148852.46873797,35247425383.76255,9681273886.224127,5039.234812873937,M3D,5646233.0625,139738.88429752065,0,5785971.946797521,396761151.8712235,3746431.833334487,0,400507583.704558,2.0997081528302677,2.1618808297010212,0.09708029426720731,0,4.280470732800001,5,1,NaN,2.1219253540039062e-05,2.283137083053589,0.01685786247253418,2.300016164779663
1,1,1024,100,19,100,2,2,32,242,12148852.46873797,35247425383.76255,10219122435.4588,5313.54643110814,M3D,5646233.0625,139738.88429752065,0,5785971.946797521,396761151.8712235,3746431.833334487,0,400507583.704558,2.0997081528302677,2.1618808297010212,0.09708029426720731,0,4.280470732800001,5,1,NaN,1.8596649169921875e-05,2.2154464721679688,0.017756223678588867,2.2332212924957275
1,1,1024,100,20,100,2,2,32,242,12148852.46873797,35247425383.76255,10756970984.693474,5587.718046513601,M3D,5646233.0625,139738.88429752065,0,5785971.946797521,396761151.8712235,3746431.833334487,0,400507583.704558,2.0997081528302677,2.1618808297010212,0.09708029426720731,0,4.280470732800001,5,1,NaN,1.6927719116210938e-05,2.2000651359558105,0.016593456268310547,2.2166755199432373
1,1,1024,100,21,100,2,2,32,242,12148852.46873797,35247425383.76255,11294819533.928148,5861.760037897182,M3D,5646233.0625,139738.88429752065,0,5785971.946797521,396761151.8712235,3746431.833334487,0,400507583.704558,2.0997081528302677,2.1618808297010212,0.09708029426720731,0,4.280470732800001,5,1,NaN,1.71661376953125e-05,2.2578654289245605,0.01744532585144043,2.2753279209136963
1,1,1024,100,22,100,2,2,32,242,12148852.46873797,35247425383.76255,11832668083.162823,6135.681561767948,M3D,5646233.0625,139738.88429752065,0,5785971.946797521,396761151.8712235,3746431.833334487,0,400507583.704558,2.0997081528302677,2.1618808297010212,0.09708029426720731,0,4.280470732800001,5,1,NaN,1.9073486328125e-05,2.1980044841766357,0.01863884925842285,2.2166624069213867
1,1,1024,100,23,100,2,2,32,242,12148852.46873797,35247425383.76255,12370516632.397495,6409.49074484712,M3D,5646233.0625,139738.88429752065,0,5785971.946797521,396761151.8712235,3746431.833334487,0,400507583.704558,2.0997081528302677,2.1618808297010212,0.09708029426720731,0,4.280470732800001,5,1,NaN,1.9311904907226562e-05,2.2469425201416016,0.016923904418945312,2.263885736465454
1,1,1024,100,24,100,2,2,32,242,12148852.46873797,35247425383.76255,12908365181.63217,6683.194839265177,M3D,5899409.5625,127135.61157024793,0,6026545.174070248,415548731.663496,3407019.180375257,0,418955750.8438713,2.0158900527302936,2.1332657392143486,0.09723734478744372,0,4.280470732800001,5,1,NaN,1.811981201171875e-05,2.1987736225128174,0.016396284103393555,2.2151880264282227
1,1,1024,100,25,100,2,2,32,242,12148852.46873797,35247425383.76255,13446213730.866842,6956.80034892215,M3D,5899409.5625,127135.61157024793,0,6026545.174070248,415548731.663496,3407019.180375257,0,418955750.8438713,2.0158900527302936,2.1332657392143486,0.09723734478744372,0,4.280470732800001,5,1,NaN,1.71661376953125e-05,2.1880452632904053,0.01844334602355957,2.20650577545166
1,1,1024,100,26,100,2,2,32,242,12148852.46873797,35247425383.76255,13984062280.101519,7230.313133301459,M3D,5899409.5625,127135.61157024793,0,6026545.174070248,415548731.663496,3407019.180375257,0,418955750.8438713,2.0158900527302936,2.1332657392143486,0.09723734478744372,0,4.280470732800001,5,1,NaN,1.8835067749023438e-05,2.183873414993286,0.017110824584960938,2.201003074645996
1,1,1024,100,27,100,2,2,32,242,12148852.46873797,35247425383.76255,14521910829.33619,7503.738493467555,M3D,5899409.5625,127135.61157024793,0,6026545.174070248,415548731.663496,3407019.180375257,0,418955750.8438713,2.0158900527302936,2.1332657392143486,0.09723734478744372,0,4.280470732800001,5,1,NaN,1.8835067749023438e-05,2.1646318435668945,0.0216519832611084,2.186302661895752
1,1,1024,100,28,100,2,2,32,242,12148852.46873797,35247425383.76255,15059759378.570864,7777.081243847713,M3D,5899409.5625,127135.61157024793,0,6026545.174070248,415548731.663496,3407019.180375257,0,418955750.8438713,2.0158900527302936,2.1332657392143486,0.09723734478744372,0,4.280470732800001,5,1,NaN,1.7881393432617188e-05,2.2473928928375244,0.01756763458251953,2.2649784088134766
1,1,1024,100,29,100,2,2,32,242,12148852.46873797,35247425383.76255,15597607927.805538,8050.345772568824,M3D,5899409.5625,127135.61157024793,0,6026545.174070248,415548731.663496,3407019.180375257,0,418955750.8438713,2.0158900527302936,2.1332657392143486,0.09723734478744372,0,4.280470732800001,5,1,NaN,1.5974044799804688e-05,2.215958833694458,0.018512248992919922,2.2344870567321777
1,1,1024,100,30,100,2,2,32,242,12148852.46873797,35247425383.76255,16135456477.04021,8323.536092503446,M3D,5899409.5625,127135.61157024793,0,6026545.174070248,415548731.663496,3407019.180375257,0,418955750.8438713,2.0158900527302936,2.1332657392143486,0.09723734478744372,0,4.280470732800001,5,1,NaN,2.002716064453125e-05,2.202967882156372,0.017751455307006836,2.2207393646240234
1,1,1024,100,31,100,2,2,32,242,12148852.46873797,35247425383.76255,16673305026.274887,8596.655884716101,M3D,5899409.5625,127135.61157024793,0,6026545.174070248,415548731.663496,3407019.180375257,0,418955750.8438713,2.0158900527302936,2.1332657392143486,0.09723734478744372,0,4.280470732800001,5,1,NaN,1.811981201171875e-05,2.203695774078369,0.01851630210876465,2.2222301959991455
1,1,1024,100,32,100,2,2,32,242,12148852.46873797,35247425383.76255,17211153575.509556,8869.708535648477,M3D,5899409.5625,127135.61157024793,0,6026545.174070248,415548731.663496,3407019.180375257,0,418955750.8438713,2.0158900527302936,2.1332657392143486,0.09723734478744372,0,4.280470732800001,5,1,NaN,1.811981201171875e-05,2.1851325035095215,0.020167827606201172,2.2053184509277344
1,1,1024,100,33,100,2,2,32,242,12148852.46873797,35247425383.76255,17749002124.744232,9142.69716911235,M3D,5899409.5625,127135.61157024793,0,6026545.174070248,415548731.663496,3407019.180375257,0,418955750.8438713,2.0158900527302936,2.1332657392143486,0.09723734478744372,0,4.280470732800001,5,1,NaN,1.7642974853515625e-05,2.1731367111206055,0.018286466598510742,2.1914408206939697
1,1,1024,100,34,100,2,2,32,242,12148852.46873797,35247425383.76255,18286850673.97891,9415.624673949718,M3D,5899409.5625,127135.61157024793,0,6026545.174070248,415548731.663496,3407019.180375257,0,418955750.8438713,2.0158900527302936,2.1332657392143486,0.09723734478744372,0,4.280470732800001,5,1,NaN,1.8835067749023438e-05,2.1841249465942383,0.0200808048248291,2.2042245864868164
1,1,1024,100,35,100,2,2,32,242,12148852.46873797,35247425383.76255,18824699223.213577,9688.493728056454,M3D,5899409.5625,127135.61157024793,0,6026545.174070248,415548731.663496,3407019.180375257,0,418955750.8438713,2.0158900527302936,2.1332657392143486,0.09723734478744372,0,4.280470732800001,5,1,NaN,1.8835067749023438e-05,2.1820242404937744,0.01882147789001465,2.200864553451538
1,1,1024,100,36,100,2,1,32,242,12148852.46873797,35247425383.76255,9681273886.224127,4980.653409668661,M3D,4053106.0625,50549.10743801653,0,4103655.1699380167,145300687.36984816,732306.1423655502,0,146032993.5122137,2.9604954523801936,2.385659736330919,0.050336243317144196,0,2.2842353664000004,5,1,NaN,1.5974044799804688e-05,1.1644346714019775,0.020911693572998047,1.1853623390197754
1,1,1024,100,37,100,2,1,32,242,12148852.46873797,35247425383.76255,9950198160.841465,5117.033132029103,M3D,4053106.0625,50549.10743801653,0,4103655.1699380167,145300687.36984816,732306.1423655502,0,146032993.5122137,2.9604954523801936,2.385659736330919,0.050336243317144196,0,2.2842353664000004,5,1,NaN,1.8835067749023438e-05,1.125415325164795,0.016866683959960938,1.1423008441925049
1,1,1024,100,38,100,2,1,32,242,12148852.46873797,35247425383.76255,10219122435.4588,5253.387111490067,M3D,4053106.0625,50549.10743801653,0,4103655.1699380167,145300687.36984816,732306.1423655502,0,146032993.5122137,2.9604954523801936,2.385659736330919,0.050336243317144196,0,2.2842353664000004,5,1,NaN,1.7881393432617188e-05,1.099501371383667,0.01696920394897461,1.1164884567260742
1,1,1024,100,39,100,2,1,32,242,12148852.46873797,35247425383.76255,10488046710.076138,5389.716357797105,M3D,4053106.0625,50549.10743801653,0,4103655.1699380167,145300687.36984816,732306.1423655502,0,146032993.5122137,2.9604954523801936,2.385659736330919,0.050336243317144196,0,2.2842353664000004,5,1,NaN,1.6927719116210938e-05,1.099494218826294,0.017941951751708984,1.1174530982971191
