Chiplet ID,Tile ID,HW Type,SA_size_x,SA_size_y,n_SA,prec,Clock Frequency (Hz)
C1,T3,SA,32,32,4,8,1000000000.0
C1,T4,SA,32,32,4,8,1000000000.0
C1,T5,SA,32,32,4,8,1000000000.0
C1,T6,SA,32,32,4,8,1000000000.0
C1,T7,SA,32,32,4,8,1000000000.0
C1,T8,SA,32,32,4,8,1000000000.0
C1,T9,SA,32,32,4,8,1000000000.0
C1,T10,SA,32,32,4,8,1000000000.0
C1,T11,SA,32,32,4,8,1000000000.0
C1,T12,SA,32,32,4,8,1000000000.0
C1,T13,SA,32,32,4,8,1000000000.0
C1,T14,SA,32,32,4,8,1000000000.0
C1,T15,SA,32,32,4,8,1000000000.0
C1,T16,SA,32,32,4,8,1000000000.0
C1,T17,SA,32,32,4,8,1000000000.0
