Chiplet ID,Tile ID,HW Type,NoC Position,AI Layer,NodeName
C1,T1,Mem Tile,"0,0",['DDR'],['DDR']
C1,T2,Mem Tile,"1,0",['L1'],['Input']
C1,T3,Mem Tile,"2,0","['L4', 'L12', 'L14', 'L17', 'L25']",['Weight']
C1,T4,SA,"3,0","['L4', 'L12', 'L14', 'L17', 'L25']","['Gemm', 'Gemm', 'Gemm', 'Gemm', 'Gemm']"
C1,T5,Mem Tile,"4,0","['L4', 'L12', 'L14', 'L17', 'L25']",['Output']
C1,T6,Mem Tile,"5,0","['L27', 'L30', 'L38', 'L40', 'L43']",['Weight']
C1,T7,SA,"0,1","['L27', 'L30', 'L38', 'L40', 'L43']","['Gemm', 'Gemm', 'Gemm', 'Gemm', 'Gemm']"
C1,T8,Mem Tile,"1,1","['L27', 'L30', 'L38', 'L40', 'L43']",['Output']
C1,T9,Mem Tile,"2,1","['L51', 'L53', 'L56', 'L64', 'L66']",['Weight']
C1,T10,SA,"3,1","['L51', 'L53', 'L56', 'L64', 'L66']","['Gemm', 'Gemm', 'Gemm', 'Gemm', 'Gemm']"
C1,T11,Mem Tile,"4,1","['L51', 'L53', 'L56', 'L64', 'L66']",['Output']
C1,T12,Mem Tile,"5,1","['L69', 'L77', 'L79', 'L82', 'L90']",['Weight']
C1,T13,SA,"0,2","['L69', 'L77', 'L79', 'L82', 'L90']","['Gemm', 'Gemm', 'Gemm', 'Gemm', 'Gemm']"
C1,T14,Mem Tile,"1,2","['L69', 'L77', 'L79', 'L82', 'L90']",['Output']
C1,T15,Mem Tile,"2,2","['L92', 'L95', 'L103', 'L105', 'L108']",['Weight']
C1,T16,SA,"3,2","['L92', 'L95', 'L103', 'L105', 'L108']","['Gemm', 'Gemm', 'Gemm', 'Gemm', 'Gemm']"
C1,T17,Mem Tile,"4,2","['L92', 'L95', 'L103', 'L105', 'L108']",['Output']
C1,T18,Mem Tile,"5,2","['L116', 'L118', 'L121', 'L129', 'L131']",['Weight']
C1,T19,SA,"0,3","['L116', 'L118', 'L121', 'L129', 'L131']","['Gemm', 'Gemm', 'Gemm', 'Gemm', 'Gemm']"
C1,T20,Mem Tile,"1,3","['L116', 'L118', 'L121', 'L129', 'L131']",['Output']
C1,T21,Mem Tile,"2,3","['L134', 'L142', 'L144', 'L147', 'L155']",['Weight']
C1,T22,SA,"3,3","['L134', 'L142', 'L144', 'L147', 'L155']","['Gemm', 'Gemm', 'Gemm', 'Gemm', 'Gemm']"
C1,T23,Mem Tile,"4,3","['L134', 'L142', 'L144', 'L147', 'L155']",['Output']
C1,T24,Mem Tile,"5,3","['L157', 'L160']",['Weight']
C1,T25,SA,"0,4","['L157', 'L160']","['Gemm', 'MatMul']"
C1,T26,Mem Tile,"1,4","['L157', 'L160']",['Output']
C2,T1,Mem Tile,"0,0","['L5', 'L8', 'L9', 'L18', 'L21', 'L22']",['Weight']
C2,T2,SA,"1,0","['L5', 'L8', 'L9', 'L18', 'L21', 'L22']","['MatMul', 'MatMul', 'Gemm', 'MatMul', 'MatMul', 'Gemm']"
C2,T3,Mem Tile,"2,0","['L31', 'L34', 'L35', 'L44', 'L47', 'L48']",['Weight']
C2,T4,SA,"3,0","['L31', 'L34', 'L35', 'L44', 'L47', 'L48']","['MatMul', 'MatMul', 'Gemm', 'MatMul', 'MatMul', 'Gemm']"
C2,T5,Mem Tile,"4,0","['L57', 'L60', 'L61', 'L70', 'L73', 'L74']",['Weight']
