Chiplet ID,Tile ID,HW Type,SA_size_x,SA_size_y,n_SA,prec,Clock Frequency (Hz)
C1,T4,SA,64,64,4,8,1000000000.0
C1,T7,SA,64,64,4,8,1000000000.0
C1,T10,SA,64,64,4,8,1000000000.0
C1,T13,SA,64,64,4,8,1000000000.0
C1,T16,SA,64,64,4,8,1000000000.0
C1,T19,SA,64,64,4,8,1000000000.0
C1,T22,SA,64,64,4,8,1000000000.0
C1,T25,SA,64,64,4,8,1000000000.0
C2,T2,SA,16,16,2,8,1000000000.0
C2,T4,SA,16,16,2,8,1000000000.0
C2,T6,SA,16,16,2,8,1000000000.0
C2,T8,SA,16,16,2,8,1000000000.0
C2,T10,SA,16,16,2,8,1000000000.0
C2,T12,SA,16,16,2,8,1000000000.0
