Chiplet ID,Tile ID,HW Type,NoC Position,AI Layer,NodeName
C1,T1,Mem Tile,"0,0",['DDR'],['DDR']
C1,T2,Mem Tile,"1,0",['L1'],['Input']
C1,T3,SA,"2,0","['L3', 'L4', 'L5', 'L8', 'L9', 'L11', 'L12', 'L14', 'L16', 'L17', 'L18', 'L21', 'L22', 'L24', 'L25']","['MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger']"
C1,T4,SA,"3,0","['L27', 'L29', 'L30', 'L31', 'L34', 'L35', 'L37', 'L38', 'L40', 'L42', 'L43', 'L44', 'L47', 'L48', 'L50']","['MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger']"
C1,T5,SA,"4,0","['L51', 'L53', 'L55', 'L56', 'L57', 'L60', 'L61', 'L63', 'L64', 'L66', 'L68', 'L69', 'L70', 'L73', 'L74']","['MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger']"
C1,T6,SA,"5,0","['L76', 'L77', 'L79', 'L81', 'L82', 'L83', 'L86', 'L87', 'L89', 'L90', 'L92', 'L94', 'L95', 'L96', 'L99']","['MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention']"
C1,T7,SA,"6,0","['L100', 'L102', 'L103', 'L105', 'L107', 'L108', 'L109', 'L112', 'L113', 'L115', 'L116', 'L118', 'L120', 'L121', 'L122']","['MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger']"
C1,T8,SA,"7,0","['L125', 'L126', 'L128', 'L129', 'L131', 'L133', 'L134', 'L135', 'L138', 'L139', 'L141', 'L142', 'L144', 'L146', 'L147']","['GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger']"
C1,T9,SA,"8,0","['L148', 'L151', 'L152', 'L154', 'L155', 'L157', 'L159', 'L160', 'L161', 'L164', 'L165', 'L167', 'L168', 'L170', 'L172']","['MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger']"
C1,T10,SA,"9,0","['L173', 'L174', 'L177', 'L178', 'L180', 'L181', 'L183', 'L185', 'L186', 'L187', 'L190', 'L191', 'L193', 'L194', 'L196']","['MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'GroupQueryAttention', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger', 'MatMulInteger']"
