Layer ID,Type,Function,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,Parallel,A,B,C
L3,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L4,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L5,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L8,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L9,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L11,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L12,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L14,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L16,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L17,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L18,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L21,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L22,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L24,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L25,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L27,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L29,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L30,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L31,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L34,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L35,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L37,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L38,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L40,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L42,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L43,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L44,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L47,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L48,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L50,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L51,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L53,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L55,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L56,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L57,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L60,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L61,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L63,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L64,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L66,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L68,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L69,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L70,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L73,GroupQueryAttention,AxB mul BxC,Temporal,A,B,NA,Temporal,B,C,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L74,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
L76,MatMulInteger,AxB mul BxC,Temporal,A,B,NA,B,C,NA,NA,NA,SA_size_y,n_SA*SA_size_x,Auto
