Chiplet ID,Tile ID,HW Type,Nbank,NW,NB,CM,Clock Frequency (Hz)
C1,T1,DDR,16,1024,320,4,1000000000.0
C1,T2,Mem Tile,16,1024,320,4,1000000000.0
C1,T30,Mem Tile,16,1024,320,4,1000000000.0
C1,T31,Mem Tile,16,1024,320,4,1000000000.0
C1,T32,Mem Tile,16,1024,320,4,1000000000.0
C1,T33,Mem Tile,16,1024,320,4,1000000000.0
C1,T34,Mem Tile,16,1024,320,4,1000000000.0
C1,T35,Mem Tile,16,1024,320,4,1000000000.0
C1,T36,Mem Tile,16,1024,320,4,1000000000.0
C1,T37,Mem Tile,16,1024,320,4,1000000000.0
C1,T38,Mem Tile,16,1024,320,4,1000000000.0
C1,T39,Mem Tile,16,1024,320,4,1000000000.0
C1,T40,Mem Tile,16,1024,320,4,1000000000.0
C1,T41,Mem Tile,16,1024,320,4,1000000000.0
C1,T42,Mem Tile,16,1024,320,4,1000000000.0
C1,T43,Mem Tile,16,1024,320,4,1000000000.0
C1,T44,Mem Tile,16,1024,320,4,1000000000.0
C1,T45,Mem Tile,16,1024,320,4,1000000000.0
C1,T46,Mem Tile,16,1024,320,4,1000000000.0
C1,T47,Mem Tile,16,1024,320,4,1000000000.0
C1,T48,Mem Tile,16,1024,320,4,1000000000.0
C1,T49,Mem Tile,16,1024,320,4,1000000000.0
C1,T50,Mem Tile,16,1024,320,4,1000000000.0
C1,T51,Mem Tile,16,1024,320,4,1000000000.0
C1,T52,Mem Tile,16,1024,320,4,1000000000.0
C1,T53,Mem Tile,16,1024,320,4,1000000000.0
C1,T54,Mem Tile,16,1024,320,4,1000000000.0
C1,T55,Mem Tile,16,1024,320,4,1000000000.0
C1,T56,Mem Tile,16,1024,320,4,1000000000.0
C1,T57,Mem Tile,16,1024,320,4,1000000000.0
C1,T58,Mem Tile,16,1024,320,4,1000000000.0
C1,T59,Mem Tile,16,1024,320,4,1000000000.0
C1,T60,Mem Tile,16,1024,320,4,1000000000.0
C1,T61,Mem Tile,16,1024,320,4,1000000000.0
C1,T62,Mem Tile,16,1024,320,4,1000000000.0
C1,T63,Mem Tile,16,1024,320,4,1000000000.0
C1,T64,Mem Tile,16,1024,320,4,1000000000.0
C1,T65,Mem Tile,16,1024,320,4,1000000000.0
C1,T66,Mem Tile,16,1024,320,4,1000000000.0
C1,T67,Mem Tile,16,1024,320,4,1000000000.0
C1,T68,Mem Tile,16,1024,320,4,1000000000.0
C1,T69,Mem Tile,16,1024,320,4,1000000000.0
C1,T70,Mem Tile,16,1024,320,4,1000000000.0
C1,T71,Mem Tile,16,1024,320,4,1000000000.0
C1,T72,Mem Tile,16,1024,320,4,1000000000.0
C1,T73,Mem Tile,16,1024,320,4,1000000000.0
C1,T74,Mem Tile,16,1024,320,4,1000000000.0
C1,T75,Mem Tile,16,1024,320,4,1000000000.0
C1,T76,Mem Tile,16,1024,320,4,1000000000.0
C1,T77,Mem Tile,16,1024,320,4,1000000000.0
C1,T78,Mem Tile,16,1024,320,4,1000000000.0
C1,T79,Mem Tile,16,1024,320,4,1000000000.0
C1,T80,Mem Tile,16,1024,320,4,1000000000.0
C1,T81,Mem Tile,16,1024,320,4,1000000000.0
C1,T82,Mem Tile,16,1024,320,4,1000000000.0
C1,T83,Mem Tile,16,1024,320,4,1000000000.0
C1,T84,Mem Tile,16,1024,320,4,1000000000.0
C1,T85,Mem Tile,16,1024,320,4,1000000000.0
C1,T86,Mem Tile,16,1024,320,4,1000000000.0
C1,T87,Mem Tile,16,1024,320,4,1000000000.0
C1,T88,Mem Tile,16,1024,320,4,1000000000.0
C1,T89,Mem Tile,16,1024,320,4,1000000000.0
C1,T90,Mem Tile,16,1024,320,4,1000000000.0
C1,T91,Mem Tile,16,1024,320,4,1000000000.0
C1,T92,Mem Tile,16,1024,320,4,1000000000.0
C1,T93,Mem Tile,16,1024,320,4,1000000000.0
C1,T94,Mem Tile,16,1024,320,4,1000000000.0
C1,T95,Mem Tile,16,1024,320,4,1000000000.0
