freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,2d NoC latency,3d NoC latency,network_latency,network_energy,peak_temperature
0.75,0.75,64,1089,4,2,32,1458,859272711.4499018,14495015551.756779,8457769482289.752,4236428.183223563,43371506.083333336,609094.2789208962,43980600.362254225,14659113657.688694,NA
0.75,0.75,64,1089,4,2,32,648,859272711.4499018,14495015551.756779,8457769482289.752,4236428.183223563,43371506.083333336,1205712.1275720166,44577218.21090535,14325732455.557663,NA
0.75,0.75,64,1089,4,2,32,338,859272711.4499018,14495015551.756779,8457769482289.752,4236428.183223563,43371506.083333336,2190661.120315582,45562167.20364892,14242277875.369295,NA
0.75,0.75,64,1089,4,2,32,242,859272711.4499018,14495015551.756779,8457769482289.752,4236428.183223563,43371506.083333336,3007399.415977962,46378905.4993113,14221388470.935972,NA
0.75,0.75,64,1089,4,2,32,50,859272711.4499018,14495015551.756779,8457769482289.752,4236428.183223563,43371506.083333336,14049701.173333334,57421207.25666667,14186638840.604856,NA
0.75,0.75,64,1089,4,2,32,18,859272711.4499018,14495015551.756779,8457769482289.752,4236428.183223563,43371506.083333336,38792636.59259259,82164142.67592593,14181758425.359837,NA
0.75,0.75,64,841,4,3,32,1458,859272711.4499018,14495015551.756779,9797498807996.809,3271667.867977614,24686214.333333332,950926.8367626886,25637141.17009602,10577125342.468235,NA
0.75,0.75,64,841,4,3,32,648,859272711.4499018,14495015551.756779,9797498807996.809,3271667.867977614,24686214.333333332,2061485.3827160494,26747699.716049384,10240203308.501438,NA
0.75,0.75,64,841,4,3,32,338,859272711.4499018,14495015551.756779,9797498807996.809,3271667.867977614,24686214.333333332,3894892.6863905326,28581107.019723866,10135494654.384392,NA
0.75,0.75,64,841,4,3,32,242,859272711.4499018,14495015551.756779,9797498807996.809,3271667.867977614,24686214.333333332,5415188.628099173,30101402.961432505,10105789526.61076,NA
0.75,0.75,64,841,4,3,32,50,859272711.4499018,14495015551.756779,9797498807996.809,3271667.867977614,24686214.333333332,25969589.76,50655804.093333334,10050239291.107965,NA
0.75,0.75,64,841,4,3,32,18,859272711.4499018,14495015551.756779,9797498807996.809,3271667.867977614,24686214.333333332,72026673.77777778,96712888.11111112,10041481291.492905,NA
0.75,0.75,64,729,4,4,32,1458,859272711.4499018,14495015551.756779,11323625257280.494,2835968.1899293573,24684526.25,1037308.0292638317,25721834.279263835,12707710134.046116,NA
0.75,0.75,64,729,4,4,32,648,859272711.4499018,14495015551.756779,11323625257280.494,2835968.1899293573,24684526.25,2135943.0658436213,26820469.315843623,12082424412.59398,NA
0.75,0.75,64,729,4,4,32,338,859272711.4499018,14495015551.756779,11323625257280.494,2835968.1899293573,24684526.25,3949665.996055227,28634192.246055227,11914134149.42215,NA
0.75,0.75,64,729,4,4,32,242,859272711.4499018,14495015551.756779,11323625257280.494,2835968.1899293573,24684526.25,5453639.283746556,30138165.533746555,11869990643.091988,NA
0.75,0.75,64,729,4,4,32,50,859272711.4499018,14495015551.756779,11323625257280.494,2835968.1899293573,24684526.25,25787358.133333337,50471884.38333333,11793013926.80888,NA
0.75,0.75,64,729,4,4,32,18,859272711.4499018,14495015551.756779,11323625257280.494,2835968.1899293573,24684526.25,71349950.37037037,96034476.62037037,11781650623.625422,NA
0.75,0.75,128,441,4,2,32,1458,192460394.319534,3290984297.794551,1350120200394.663,676977.8627219866,35006536.083333336,407716.5285779606,35414252.61191129,4778799280.536827,NA
0.75,0.75,128,441,4,2,32,648,192460394.319534,3290984297.794551,1350120200394.663,676977.8627219866,35006536.083333336,890937.1893004115,35897473.272633746,4732256730.952603,NA
0.75,0.75,128,441,4,2,32,338,192460394.319534,3290984297.794551,1350120200394.663,676977.8627219866,35006536.083333336,1688680.17357002,36695216.25690336,4717310907.082658,NA
