freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,peak_temperature,placement_method,percent_router
1.0,1.0,512,100,25,100,32,242,4,9363161.638461128,9263773717.97734,92191660904.11826,23352.81264057078,H2_5D,10277008.375,0,36275.04403695001,10313283.41903695,784375469.7017714,0.0,734397.0698405951,785109866.7716119,NA,1,1.0
1.0,1.0,512,100,25,100,32,242,4,9363161.638461128,9263773717.97734,92191660904.11826,23352.81264057078,H2_5D,10277008.375,0,36275.04403695001,10313283.41903695,784375469.7017714,0.0,734397.0698405951,785109866.7716119,NA,1,1.0
1.0,1.0,512,100,25,100,32,242,4,9363161.638461128,9263773717.97734,92191660904.11826,23352.81264057078,H2_5D,10277008.375,0,36275.04403695001,10313283.41903695,784375469.7017714,0.0,734397.0698405951,785109866.7716119,NA,1,1.0
1.0,1.0,512,100,25,100,32,242,4,9363161.638461128,9263773717.97734,92191660904.11826,23352.81264057078,H2_5D,10277008.375,0,36275.04403695001,10313283.41903695,784375469.7017714,0.0,734397.0698405951,785109866.7716119,NA,1,1.0
1.0,1.0,512,121,25,121,32,242,4,9363161.638461128,9263773717.97734,111551909693.98308,28256.952035103106,H2_5D,10113828.5625,0,50267.93314135001,10164096.49564135,940174207.7183104,0.0,1017686.5055862337,941191894.2238966,NA,1,1.0
1.0,1.0,512,121,25,121,32,242,4,9363161.638461128,9263773717.97734,111551909693.98308,28256.952035103106,H2_5D,10113828.5625,0,50267.93314135001,10164096.49564135,940174207.7183104,0.0,1017686.5055862337,941191894.2238966,NA,1,1.0
1.0,1.0,512,121,25,121,32,242,4,9363161.638461128,9263773717.97734,111551909693.98308,28256.952035103106,H2_5D,10113828.5625,0,50267.93314135001,10164096.49564135,940174207.7183104,0.0,1017686.5055862337,941191894.2238966,NA,1,1.0
1.0,1.0,512,121,25,121,32,242,4,9363161.638461128,9263773717.97734,111551909693.98308,28256.952035103106,H2_5D,10113828.5625,0,50267.93314135001,10164096.49564135,940174207.7183104,0.0,1017686.5055862337,941191894.2238966,NA,1,1.0
1.0,1.0,512,144,25,144,32,242,3,9363161.638461128,9263773717.97734,99566993776.44771,33627.89065051377,H2_5D,10930064.75,0,5247.333414150001,10935312.08341415,896449074.6134627,0.0,106233.5384046144,896555308.1518673,NA,1,1.0
1.0,1.0,512,144,25,144,32,242,3,9363161.638461128,9263773717.97734,99566993776.44771,33627.89065051377,H2_5D,10930064.75,0,5247.333414150001,10935312.08341415,896449074.6134627,0.0,106233.5384046144,896555308.1518673,NA,1,1.0
